tree_index	node_name	label
0	node0	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
1	node0	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
10	node0	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
11	node0	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
12	node0	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
13	node0	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
2	node0	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
3	node0	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
4	node0	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
5	node0	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
6	node0	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
7	node0	{'NMPs', 'Somite', 'NeuralTube'}
8	node0	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
9	node0	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
0	node1	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
1	node1	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
10	node1	{'NMPs', 'Somite', 'NeuralTube'}
11	node1	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
12	node1	{'NMPs', 'Somite', 'NeuralTube'}
13	node1	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
2	node1	{'NMPs', 'Somite', 'NeuralTube'}
3	node1	{'NMPs', 'Somite', 'NeuralTube'}
4	node1	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
5	node1	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
6	node1	{'NMPs', 'Somite', 'NeuralTube'}
7	node1	{'NMPs', 'Somite', 'NeuralTube'}
8	node1	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
9	node1	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
0	node10	{'NMPs', 'Somite', 'NeuralTube'}
1	node10	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
10	node10	{'NeuralTube', 'Somite'}
11	node10	{'NMPs', 'Somite', 'NeuralTube'}
12	node10	{'NeuralTube', 'Somite'}
13	node10	{'NMPs', 'Somite', 'NeuralTube'}
2	node10	{'NMPs', 'Somite', 'NeuralTube'}
6	node10	{'NMPs', 'Somite', 'NeuralTube'}
7	node10	{'NMPs', 'Somite', 'NeuralTube'}
8	node10	{'NeuralTube', 'Somite'}
9	node10	{'NMPs', 'Somite', 'NeuralTube'}
0	node100	{'NMPs', 'Somite', 'NeuralTube'}
1	node100	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
12	node100	{'NMPs', 'Somite', 'NeuralTube'}
13	node100	{'NMPs', 'Somite', 'NeuralTube'}
5	node100	{'NMPs', 'Somite', 'NeuralTube'}
9	node100	{'NeuralTube', 'Somite'}
1	node1002	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
1	node1006	{'NeuralTube', 'Somite'}
1	node1008	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
0	node101	{'NMPs', 'Somite', 'NeuralTube'}
1	node101	{'NeuralTube', 'Somite'}
10	node101	{'NMPs', 'Somite', 'NeuralTube'}
11	node101	{'NeuralTube', 'Somite'}
12	node101	{'NMPs', 'Somite', 'NeuralTube'}
3	node101	{'NMPs', 'Somite', 'NeuralTube'}
5	node101	{'NMPs', 'Somite', 'NeuralTube'}
1	node1016	{'NeuralTube', 'Somite'}
0	node102	{'NMPs', 'NeuralTube', 'Endoderm', 'PCGLC', 'Somite', 'Endothelial'}
1	node102	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
11	node102	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
4	node102	{'NeuralTube', 'Somite'}
5	node102	{'NMPs', 'Somite', 'NeuralTube'}
9	node102	{'NMPs', 'Somite', 'NeuralTube', 'Endothelial'}
0	node103	{'NMPs', 'NeuralTube', 'Endoderm', 'Somite', 'Endothelial'}
10	node103	{'NeuralTube', 'Somite'}
12	node103	{'NMPs', 'Somite', 'NeuralTube'}
13	node103	{'NMPs', 'Somite', 'NeuralTube'}
3	node103	{'NMPs', 'Somite', 'NeuralTube'}
4	node103	{'NeuralTube', 'Somite'}
9	node103	{'NMPs', 'Somite', 'NeuralTube'}
0	node104	{'NMPs', 'Somite', 'NeuralTube'}
1	node104	{'NeuralTube', 'Somite'}
10	node104	{'NeuralTube', 'Somite'}
12	node104	{'NMPs', 'Somite', 'NeuralTube'}
2	node104	{'NMPs', 'Somite', 'NeuralTube'}
