,Undifferentiated,Monocyte,Neutrophil,Baso,Mast,Erythroid,Meg,Lymphoid,Eos,DC,counts
0,0,0,0,0,0,0,0,0,0,0,922
1,0,0,0,0,0,0,0,0,0,1,10
2,0,0,0,0,0,0,0,0,1,0,5
3,0,0,0,0,0,0,0,1,0,0,31
4,0,0,0,0,0,0,1,0,0,0,62
5,0,0,0,0,0,1,0,0,0,0,11
6,0,0,0,0,0,1,1,0,0,0,6
7,0,0,0,0,1,0,0,0,0,0,77
8,0,0,0,0,1,0,0,0,1,0,1
9,0,0,0,0,1,0,1,0,0,0,1
10,0,0,0,0,1,1,0,0,0,0,1
11,0,0,0,1,0,0,0,0,0,0,221
12,0,0,0,1,0,0,0,0,1,0,9
13,0,0,0,1,0,0,1,0,0,0,1
14,0,0,0,1,0,1,0,0,0,0,3
15,0,0,0,1,0,1,1,0,0,0,1
16,0,0,0,1,1,0,0,0,0,0,9
17,0,0,0,1,1,1,0,0,0,0,1
18,0,0,1,0,0,0,0,0,0,0,388
19,0,0,1,0,0,0,1,0,0,0,2
20,0,0,1,0,1,0,0,0,0,0,1
21,0,0,1,1,0,0,0,0,0,0,7
22,0,0,1,1,0,0,1,0,0,0,1
23,0,0,1,1,1,0,0,0,1,0,1
24,0,1,0,0,0,0,0,0,0,0,311
25,0,1,0,0,0,0,0,0,0,1,3
26,0,1,0,0,0,0,0,0,1,0,1
27,0,1,0,0,0,0,0,1,0,0,2
28,0,1,0,0,0,0,1,0,0,0,1
29,0,1,0,1,0,0,0,0,0,0,1
30,0,1,0,1,1,0,0,0,0,0,4
31,0,1,1,0,0,0,0,0,0,0,51
32,0,1,1,0,0,0,1,0,0,0,1
33,0,1,1,0,1,0,0,0,0,0,2
34,0,1,1,1,0,0,0,0,0,0,1
35,1,0,0,0,0,0,0,0,0,0,2175
36,1,0,0,0,0,0,0,0,0,1,13
37,1,0,0,0,0,0,0,0,1,0,3
38,1,0,0,0,0,0,0,1,0,0,25
39,1,0,0,0,0,0,1,0,0,0,73
40,1,0,0,0,0,1,0,0,0,0,16
41,1,0,0,0,0,1,1,0,0,0,13
42,1,0,0,0,1,0,0,0,0,0,24
43,1,0,0,0,1,0,0,0,1,0,1
44,1,0,0,0,1,0,1,0,0,0,4
45,1,0,0,0,1,1,0,0,0,0,3
46,1,0,0,0,1,1,0,0,1,0,2
47,1,0,0,1,0,0,0,0,0,0,174
48,1,0,0,1,0,0,0,0,0,1,1
49,1,0,0,1,0,0,0,0,1,0,13
50,1,0,0,1,0,0,1,0,0,0,5
51,1,0,0,1,0,0,1,0,1,0,2
52,1,0,0,1,0,1,0,0,0,0,3
53,1,0,0,1,0,1,1,0,0,0,3
54,1,0,0,1,1,0,0,0,0,0,21
55,1,0,0,1,1,0,1,0,0,0,1
56,1,0,0,1,1,1,0,0,0,0,2
57,1,0,0,1,1,1,1,0,0,0,1
58,1,0,1,0,0,0,0,0,0,0,405
59,1,0,1,0,0,0,0,0,0,1,1
60,1,0,1,0,0,0,1,0,0,0,4
61,1,0,1,0,0,1,1,0,0,0,1
62,1,0,1,0,1,0,0,0,0,0,5
63,1,0,1,0,1,0,0,0,1,0,1
64,1,0,1,1,0,0,0,0,0,0,28
65,1,0,1,1,0,0,0,0,1,0,5
66,1,0,1,1,0,0,1,0,0,0,1
67,1,0,1,1,1,0,0,0,0,0,2
68,1,1,0,0,0,0,0,0,0,0,475
69,1,1,0,0,0,0,0,0,0,1,5
70,1,1,0,0,0,0,0,1,0,0,7
71,1,1,0,0,0,0,0,1,0,1,1
72,1,1,0,0,0,0,1,0,0,0,1
73,1,1,0,0,0,1,1,0,0,0,1
74,1,1,0,0,1,0,0,0,0,0,1
75,1,1,0,1,0,0,0,0,0,0,8
76,1,1,1,0,0,0,0,0,0,0,175
77,1,1,1,0,0,0,0,0,0,1,1
78,1,1,1,0,0,0,0,0,1,0,1
79,1,1,1,0,0,0,0,1,0,0,1
80,1,1,1,0,0,1,0,0,0,0,1
81,1,1,1,0,1,0,0,0,0,0,1
82,1,1,1,1,0,0,0,0,0,0,3
83,1,1,1,1,1,0,0,0,0,0,1
