,Undifferentiated,Monocyte,Neutrophil,Baso,Mast,Erythroid,Meg,Lymphoid,Eos,DC,counts
0,0,0,0,0,0,0,0,0,0,0,110
1,0,0,0,0,0,0,0,0,0,1,7
2,0,0,0,0,0,0,0,0,1,0,6
3,0,0,0,0,0,0,0,1,0,0,9
4,0,0,0,0,0,0,1,0,0,0,41
5,0,0,0,0,0,0,1,0,1,0,1
6,0,0,0,0,0,1,0,0,0,0,8
7,0,0,0,0,0,1,1,0,0,0,5
8,0,0,0,0,1,0,0,0,0,0,71
9,0,0,0,0,1,0,0,0,0,1,1
10,0,0,0,0,1,0,0,0,1,0,2
11,0,0,0,0,1,0,1,0,0,0,4
12,0,0,0,1,0,0,0,0,0,0,39
13,0,0,0,1,0,0,0,0,1,0,6
14,0,0,0,1,1,0,0,0,0,0,4
15,0,0,1,0,0,0,0,0,0,0,258
16,0,0,1,0,0,0,0,0,1,0,1
17,0,0,1,0,0,0,1,0,0,0,2
18,0,0,1,0,1,0,0,0,0,0,2
19,0,0,1,1,0,0,0,0,0,0,1
20,0,1,0,0,0,0,0,0,0,0,200
21,0,1,0,0,0,0,0,0,0,1,6
22,0,1,0,0,0,0,0,1,0,0,3
23,0,1,0,0,1,0,0,0,0,0,2
24,0,1,0,1,0,0,0,0,0,0,2
25,0,1,0,1,0,0,0,0,1,0,1
26,0,1,0,1,1,0,0,0,0,0,1
27,0,1,1,0,0,0,0,0,0,0,39
28,0,1,1,0,0,0,1,0,0,0,1
29,0,1,1,0,1,0,0,0,0,0,1
30,1,0,0,0,0,0,0,0,0,0,2397
31,1,0,0,0,0,0,0,0,0,1,22
32,1,0,0,0,0,0,0,0,1,0,23
33,1,0,0,0,0,0,0,1,0,0,106
34,1,0,0,0,0,0,0,1,0,1,3
35,1,0,0,0,0,0,1,0,0,0,155
36,1,0,0,0,0,1,0,0,0,0,31
37,1,0,0,0,0,1,1,0,0,0,31
38,1,0,0,0,0,1,1,0,1,0,1
39,1,0,0,0,1,0,0,0,0,0,69
40,1,0,0,0,1,0,0,0,1,0,1
41,1,0,0,0,1,0,1,0,0,0,9
42,1,0,0,0,1,1,0,0,0,0,8
43,1,0,0,0,1,1,0,0,1,0,3
44,1,0,0,0,1,1,1,0,0,0,7
45,1,0,0,1,0,0,0,0,0,0,78
46,1,0,0,1,0,0,0,0,0,1,1
47,1,0,0,1,0,0,0,0,1,0,10
48,1,0,0,1,0,0,1,0,0,0,4
49,1,0,0,1,0,0,1,0,1,0,1
50,1,0,0,1,0,1,0,0,0,0,2
51,1,0,0,1,0,1,1,0,0,0,1
52,1,0,0,1,1,0,0,0,0,0,6
53,1,0,0,1,1,0,0,0,1,0,4
54,1,0,0,1,1,0,1,0,0,0,4
55,1,0,0,1,1,1,0,0,0,0,2
56,1,0,0,1,1,1,1,0,0,0,1
57,1,0,1,0,0,0,0,0,0,0,838
58,1,0,1,0,0,0,0,0,0,1,2
59,1,0,1,0,0,0,0,0,1,0,13
60,1,0,1,0,0,0,1,0,0,0,7
61,1,0,1,0,0,0,1,0,1,0,1
62,1,0,1,0,0,1,1,0,0,0,1
63,1,0,1,0,1,0,0,0,0,0,6
64,1,0,1,0,1,0,0,0,1,0,1
65,1,0,1,0,1,0,1,0,0,0,1
66,1,0,1,1,0,0,0,0,0,0,9
67,1,0,1,1,0,0,0,0,1,0,2
68,1,0,1,1,0,0,1,0,0,0,3
69,1,0,1,1,0,0,1,0,1,0,1
70,1,0,1,1,1,0,0,0,1,0,2
71,1,1,0,0,0,0,0,0,0,0,756
72,1,1,0,0,0,0,0,0,0,1,15
73,1,1,0,0,0,0,0,0,1,0,1
74,1,1,0,0,0,0,0,1,0,0,12
75,1,1,0,0,0,0,0,1,0,1,3
76,1,1,0,0,0,0,1,0,0,0,2
77,1,1,0,0,0,1,0,0,0,0,3
78,1,1,0,0,0,1,1,0,0,0,2
79,1,1,0,0,1,0,0,0,0,0,4
80,1,1,0,0,1,1,1,0,0,0,1
81,1,1,0,1,0,0,0,0,0,0,6
82,1,1,0,1,0,0,0,0,1,0,1
83,1,1,0,1,1,0,0,0,0,0,1
84,1,1,1,0,0,0,0,0,0,0,327
85,1,1,1,0,0,0,0,0,0,1,2
86,1,1,1,0,0,0,0,0,1,0,6
87,1,1,1,0,0,0,0,1,0,0,2
88,1,1,1,0,0,0,1,0,0,0,4
89,1,1,1,0,0,1,0,0,0,0,1
90,1,1,1,0,0,1,1,0,0,0,1
91,1,1,1,0,1,0,0,0,0,0,9
92,1,1,1,0,1,0,0,0,0,1,1
93,1,1,1,1,0,0,0,0,0,0,1
94,1,1,1,1,0,0,1,0,0,0,1
95,1,1,1,1,1,0,0,0,0,0,1
