,Undifferentiated,Monocyte,Neutrophil,Baso,Mast,Erythroid,Meg,Lymphoid,Eos,DC,counts
0,0,0,0,0,0,0,0,0,0,1,7
1,0,0,0,0,0,0,0,1,0,0,9
2,0,0,0,0,0,0,1,0,0,0,39
3,0,0,0,0,0,0,1,0,1,0,1
4,0,0,0,0,0,1,0,0,0,0,6
5,0,0,0,0,0,1,1,0,0,0,5
6,0,0,0,0,1,0,0,0,0,0,66
7,0,0,0,0,1,0,0,0,0,1,1
8,0,0,0,0,1,0,0,0,1,0,1
9,0,0,0,0,1,0,1,0,0,0,4
10,0,0,0,1,0,0,0,0,0,0,153
11,0,0,0,1,0,0,0,0,1,0,8
12,0,0,0,1,0,0,1,0,0,0,2
13,0,0,0,1,0,1,0,0,0,0,2
14,0,0,0,1,1,0,0,0,0,0,10
15,0,0,1,0,0,0,0,0,0,0,254
16,0,0,1,0,0,0,1,0,0,0,2
17,0,0,1,0,1,0,0,0,0,0,2
18,0,0,1,1,0,0,0,0,0,0,6
19,0,1,0,0,0,0,0,0,0,0,198
20,0,1,0,0,0,0,0,0,0,1,6
21,0,1,0,0,0,0,0,1,0,0,3
22,0,1,0,0,1,0,0,0,0,0,1
23,0,1,0,1,0,0,0,0,0,0,4
24,0,1,0,1,0,0,0,0,1,0,1
25,0,1,0,1,1,0,0,0,0,0,2
26,0,1,1,0,0,0,0,0,0,0,37
27,0,1,1,0,0,0,1,0,0,0,1
28,0,1,1,0,1,0,0,0,0,0,1
29,0,1,1,1,0,0,0,0,0,0,2
30,1,0,0,0,0,0,0,0,0,0,2183
31,1,0,0,0,0,0,0,0,0,1,22
32,1,0,0,0,0,0,0,0,1,0,6
33,1,0,0,0,0,0,0,1,0,0,106
34,1,0,0,0,0,0,0,1,0,1,3
35,1,0,0,0,0,0,1,0,0,0,148
36,1,0,0,0,0,1,0,0,0,0,28
37,1,0,0,0,0,1,1,0,0,0,28
38,1,0,0,0,1,0,0,0,0,0,47
39,1,0,0,0,1,0,1,0,0,0,8
40,1,0,0,0,1,1,0,0,0,0,9
41,1,0,0,0,1,1,1,0,0,0,5
42,1,0,0,1,0,0,0,0,0,0,310
43,1,0,0,1,0,0,0,0,0,1,1
44,1,0,0,1,0,0,0,0,1,0,9
45,1,0,0,1,0,0,1,0,0,0,12
46,1,0,0,1,0,1,0,0,0,0,5
47,1,0,0,1,0,1,1,0,0,0,5
48,1,0,0,1,1,0,0,0,0,0,30
49,1,0,0,1,1,0,0,0,1,0,3
50,1,0,0,1,1,0,1,0,0,0,5
51,1,0,0,1,1,1,0,0,0,0,4
52,1,0,0,1,1,1,1,0,0,0,3
53,1,0,1,0,0,0,0,0,0,0,793
54,1,0,1,0,0,0,0,0,0,1,2
55,1,0,1,0,0,0,0,0,1,0,2
56,1,0,1,0,0,0,1,0,0,0,7
57,1,0,1,0,1,0,0,0,0,0,6
58,1,0,1,0,1,0,1,0,0,0,1
59,1,0,1,1,0,0,0,0,0,0,60
60,1,0,1,1,0,0,0,0,1,0,7
61,1,0,1,1,0,0,1,0,0,0,4
62,1,0,1,1,0,0,1,0,1,0,1
63,1,0,1,1,0,1,1,0,0,0,1
64,1,0,1,1,1,0,0,0,0,0,2
65,1,0,1,1,1,0,0,0,1,0,1
66,1,1,0,0,0,0,0,0,0,0,754
67,1,1,0,0,0,0,0,0,0,1,15
68,1,1,0,0,0,0,0,0,1,0,1
69,1,1,0,0,0,0,0,1,0,0,12
70,1,1,0,0,0,0,0,1,0,1,3
71,1,1,0,0,0,0,1,0,0,0,2
72,1,1,0,0,0,1,0,0,0,0,1
73,1,1,0,0,0,1,1,0,0,0,2
74,1,1,0,0,1,0,0,0,0,0,3
75,1,1,0,0,1,1,1,0,0,0,1
76,1,1,0,1,0,0,0,0,0,0,9
77,1,1,0,1,0,1,0,0,0,0,2
78,1,1,0,1,1,0,0,0,0,0,2
79,1,1,1,0,0,0,0,0,0,0,318
80,1,1,1,0,0,0,0,0,0,1,2
81,1,1,1,0,0,0,0,0,1,0,3
82,1,1,1,0,0,0,0,1,0,0,2
83,1,1,1,0,0,0,1,0,0,0,4
84,1,1,1,0,0,1,0,0,0,0,1
85,1,1,1,0,0,1,1,0,0,0,1
86,1,1,1,0,1,0,0,0,0,0,8
87,1,1,1,0,1,0,0,0,0,1,1
88,1,1,1,1,0,0,0,0,0,0,13
89,1,1,1,1,0,0,1,0,0,0,1
90,1,1,1,1,1,0,0,0,0,0,2
