,nprogs,prob,iter,present
0,1,0.01,0,0
1,1,0.01,1,0
2,1,0.01,2,0
3,1,0.01,3,0
4,1,0.01,4,0
5,1,0.05,0,0
6,1,0.05,1,0
7,1,0.05,2,0
8,1,0.05,3,0
9,1,0.05,4,0
10,1,0.1,0,0
11,1,0.1,1,0
12,1,0.1,2,0
13,1,0.1,3,0
14,1,0.1,4,0
15,1,0.2,0,0
16,1,0.2,1,0
17,1,0.2,2,0
18,1,0.2,3,0
19,1,0.2,4,0
20,1,0.3,0,0
21,1,0.3,1,0
22,1,0.3,2,0
23,1,0.3,3,0
24,1,0.3,4,0
25,1,0.4,0,0
26,1,0.4,1,0
27,1,0.4,2,0
28,1,0.4,3,0
29,1,0.4,4,0
30,1,0.5,0,0
31,1,0.5,1,0
32,1,0.5,2,0
33,1,0.5,3,0
34,1,0.5,4,0
35,1,0.6,0,0
36,1,0.6,1,0
37,1,0.6,2,0
38,1,0.6,3,0
39,1,0.6,4,0
40,1,0.7,0,0
41,1,0.7,1,0
42,1,0.7,2,0
43,1,0.7,3,0
44,1,0.7,4,0
45,1,0.8,0,0
46,1,0.8,1,0
47,1,0.8,2,0
48,1,0.8,3,0
49,1,0.8,4,0
50,1,0.9,0,0
51,1,0.9,1,0
52,1,0.9,2,0
53,1,0.9,3,0
54,1,0.9,4,0
55,2,0.01,0,0
56,2,0.01,1,0
57,2,0.01,2,0
58,2,0.01,3,0
59,2,0.01,4,0
60,2,0.05,0,0
61,2,0.05,1,0
62,2,0.05,2,0
63,2,0.05,3,0
64,2,0.05,4,0
65,2,0.1,0,0
66,2,0.1,1,0
67,2,0.1,2,0
68,2,0.1,3,0
69,2,0.1,4,0
70,2,0.2,0,0
71,2,0.2,1,0
72,2,0.2,2,0
73,2,0.2,3,0
74,2,0.2,4,0
75,2,0.3,0,0
76,2,0.3,1,0
77,2,0.3,2,0
78,2,0.3,3,0
79,2,0.3,4,0
80,2,0.4,0,0
81,2,0.4,1,0
82,2,0.4,2,0
83,2,0.4,3,0
84,2,0.4,4,0
85,2,0.5,0,0
86,2,0.5,1,0
87,2,0.5,2,0
88,2,0.5,3,0
89,2,0.5,4,0
90,2,0.6,0,0
91,2,0.6,1,0
92,2,0.6,2,0
93,2,0.6,3,0
94,2,0.6,4,0
95,2,0.7,0,0
96,2,0.7,1,0
97,2,0.7,2,0
98,2,0.7,3,0
99,2,0.7,4,0
100,2,0.8,0,0
101,2,0.8,1,0
102,2,0.8,2,0
103,2,0.8,3,0
104,2,0.8,4,0
105,2,0.9,0,0
106,2,0.9,1,0
107,2,0.9,2,0
108,2,0.9,3,0
109,2,0.9,4,0
110,3,0.01,0,0
111,3,0.01,1,0
112,3,0.01,2,0
113,3,0.01,3,0
114,3,0.01,4,0
115,3,0.05,0,0
116,3,0.05,1,0
117,3,0.05,2,0
118,3,0.05,3,0
119,3,0.05,4,0
120,3,0.1,0,0
121,3,0.1,1,0
122,3,0.1,2,0
123,3,0.1,3,0
124,3,0.1,4,0
125,3,0.2,0,0
126,3,0.2,1,0
127,3,0.2,2,0
128,3,0.2,3,0
129,3,0.2,4,0
130,3,0.3,0,0
131,3,0.3,1,0
132,3,0.3,2,0
133,3,0.3,3,0
134,3,0.3,4,0
135,3,0.4,0,0
136,3,0.4,1,0
137,3,0.4,2,0
138,3,0.4,3,0
139,3,0.4,4,0
140,3,0.5,0,0
141,3,0.5,1,0
142,3,0.5,2,0
143,3,0.5,3,0
144,3,0.5,4,0
145,3,0.6,0,0
146,3,0.6,1,0
147,3,0.6,2,0
148,3,0.6,3,0
149,3,0.6,4,0
150,3,0.7,0,0
151,3,0.7,1,0
152,3,0.7,2,0
153,3,0.7,3,0
154,3,0.7,4,0
155,3,0.8,0,0
156,3,0.8,1,0
157,3,0.8,2,0
158,3,0.8,3,0
159,3,0.8,4,0
160,3,0.9,0,0
161,3,0.9,1,0
162,3,0.9,2,0
163,3,0.9,3,0
164,3,0.9,4,0
165,4,0.01,0,0
166,4,0.01,1,0
167,4,0.01,2,0
168,4,0.01,3,0
169,4,0.01,4,0
170,4,0.05,0,0
171,4,0.05,1,0
172,4,0.05,2,0
173,4,0.05,3,0
174,4,0.05,4,1
175,4,0.1,0,0
176,4,0.1,1,0
177,4,0.1,2,0
178,4,0.1,3,0
179,4,0.1,4,0
180,4,0.2,0,0
181,4,0.2,1,0
182,4,0.2,2,0
183,4,0.2,3,0
184,4,0.2,4,0
185,4,0.3,0,0
186,4,0.3,1,0
187,4,0.3,2,0
188,4,0.3,3,0
189,4,0.3,4,0
190,4,0.4,0,0
191,4,0.4,1,0
192,4,0.4,2,0
193,4,0.4,3,0
194,4,0.4,4,0
195,4,0.5,0,0
196,4,0.5,1,0
197,4,0.5,2,0
198,4,0.5,3,0
199,4,0.5,4,0
200,4,0.6,0,0
201,4,0.6,1,0
202,4,0.6,2,0
203,4,0.6,3,0
204,4,0.6,4,0
205,4,0.7,0,0
206,4,0.7,1,0
207,4,0.7,2,0
208,4,0.7,3,0
209,4,0.7,4,0
210,4,0.8,0,0
211,4,0.8,1,0
212,4,0.8,2,0
213,4,0.8,3,0
214,4,0.8,4,0
215,4,0.9,0,0
216,4,0.9,1,0
217,4,0.9,2,0
218,4,0.9,3,0
219,4,0.9,4,0
220,5,0.01,0,0
221,5,0.01,1,0
222,5,0.01,2,0
223,5,0.01,3,0
224,5,0.01,4,0
225,5,0.05,0,0
226,5,0.05,1,1
227,5,0.05,2,1
228,5,0.05,3,0
229,5,0.05,4,1
230,5,0.1,0,1
231,5,0.1,1,0
232,5,0.1,2,0
233,5,0.1,3,0
234,5,0.1,4,0
235,5,0.2,0,0
236,5,0.2,1,0
237,5,0.2,2,0
238,5,0.2,3,0
239,5,0.2,4,0
240,5,0.3,0,0
241,5,0.3,1,0
242,5,0.3,2,0
243,5,0.3,3,0
244,5,0.3,4,0
245,5,0.4,0,0
246,5,0.4,1,0
247,5,0.4,2,0
248,5,0.4,3,0
249,5,0.4,4,0
250,5,0.5,0,0
251,5,0.5,1,1
252,5,0.5,2,0
253,5,0.5,3,0
254,5,0.5,4,0
255,5,0.6,0,0
256,5,0.6,1,0
257,5,0.6,2,0
258,5,0.6,3,0
259,5,0.6,4,0
260,5,0.7,0,0
261,5,0.7,1,0
262,5,0.7,2,0
263,5,0.7,3,0
264,5,0.7,4,0
265,5,0.8,0,0
266,5,0.8,1,0
267,5,0.8,2,0
268,5,0.8,3,0
269,5,0.8,4,0
270,5,0.9,0,0
271,5,0.9,1,0
272,5,0.9,2,0
273,5,0.9,3,0
274,5,0.9,4,0
275,6,0.01,0,0
276,6,0.01,1,0
277,6,0.01,2,0
278,6,0.01,3,0
279,6,0.01,4,0
280,6,0.05,0,0
281,6,0.05,1,1
282,6,0.05,2,1
283,6,0.05,3,0
284,6,0.05,4,1
285,6,0.1,0,1
286,6,0.1,1,1
287,6,0.1,2,0
288,6,0.1,3,0
289,6,0.1,4,1
290,6,0.2,0,1
291,6,0.2,1,1
292,6,0.2,2,0
293,6,0.2,3,0
294,6,0.2,4,1
295,6,0.3,0,1
296,6,0.3,1,1
297,6,0.3,2,1
298,6,0.3,3,1
299,6,0.3,4,1
300,6,0.4,0,1
301,6,0.4,1,1
302,6,0.4,2,0
303,6,0.4,3,1
304,6,0.4,4,1
305,6,0.5,0,0
306,6,0.5,1,1
307,6,0.5,2,0
308,6,0.5,3,1
309,6,0.5,4,0
310,6,0.6,0,1
311,6,0.6,1,1
312,6,0.6,2,1
313,6,0.6,3,1
314,6,0.6,4,0
315,6,0.7,0,1
316,6,0.7,1,1
317,6,0.7,2,1
318,6,0.7,3,1
319,6,0.7,4,0
320,6,0.8,0,1
321,6,0.8,1,1
322,6,0.8,2,1
323,6,0.8,3,1
324,6,0.8,4,1
325,6,0.9,0,1
326,6,0.9,1,1
327,6,0.9,2,1
328,6,0.9,3,1
329,6,0.9,4,1
330,7,0.01,0,0
331,7,0.01,1,0
332,7,0.01,2,0
333,7,0.01,3,0
334,7,0.01,4,0
335,7,0.05,0,0
336,7,0.05,1,1
337,7,0.05,2,1
338,7,0.05,3,0
339,7,0.05,4,1
340,7,0.1,0,1
341,7,0.1,1,1
342,7,0.1,2,0
343,7,0.1,3,0
344,7,0.1,4,1
345,7,0.2,0,1
346,7,0.2,1,1
347,7,0.2,2,0
348,7,0.2,3,1
349,7,0.2,4,1
350,7,0.3,0,1
351,7,0.3,1,1
352,7,0.3,2,1
353,7,0.3,3,1
354,7,0.3,4,1
355,7,0.4,0,1
356,7,0.4,1,1
357,7,0.4,2,1
358,7,0.4,3,1
359,7,0.4,4,1
360,7,0.5,0,0
361,7,0.5,1,1
362,7,0.5,2,1
363,7,0.5,3,1
364,7,0.5,4,1
365,7,0.6,0,1
366,7,0.6,1,1
367,7,0.6,2,1
368,7,0.6,3,1
369,7,0.6,4,0
370,7,0.7,0,1
371,7,0.7,1,1
372,7,0.7,2,1
373,7,0.7,3,1
374,7,0.7,4,0
375,7,0.8,0,1
376,7,0.8,1,1
377,7,0.8,2,1
378,7,0.8,3,1
379,7,0.8,4,1
380,7,0.9,0,1
381,7,0.9,1,1
382,7,0.9,2,1
383,7,0.9,3,1
384,7,0.9,4,1
385,8,0.01,0,0
386,8,0.01,1,0
387,8,0.01,2,0
388,8,0.01,3,0
389,8,0.01,4,0
390,8,0.05,0,0
391,8,0.05,1,1
392,8,0.05,2,1
393,8,0.05,3,0
394,8,0.05,4,1
395,8,0.1,0,1
396,8,0.1,1,1
397,8,0.1,2,1
398,8,0.1,3,1
399,8,0.1,4,1
400,8,0.2,0,1
401,8,0.2,1,1
402,8,0.2,2,0
403,8,0.2,3,1
404,8,0.2,4,1
405,8,0.3,0,1
406,8,0.3,1,1
407,8,0.3,2,1
408,8,0.3,3,1
409,8,0.3,4,1
410,8,0.4,0,1
411,8,0.4,1,1
412,8,0.4,2,1
413,8,0.4,3,1
414,8,0.4,4,1
415,8,0.5,0,0
416,8,0.5,1,1
417,8,0.5,2,1
418,8,0.5,3,1
419,8,0.5,4,1
420,8,0.6,0,1
421,8,0.6,1,1
422,8,0.6,2,1
423,8,0.6,3,1
424,8,0.6,4,0
425,8,0.7,0,1
426,8,0.7,1,1
427,8,0.7,2,1
428,8,0.7,3,1
429,8,0.7,4,0
430,8,0.8,0,1
431,8,0.8,1,1
432,8,0.8,2,1
433,8,0.8,3,1
434,8,0.8,4,1
435,8,0.9,0,1
436,8,0.9,1,1
437,8,0.9,2,1
438,8,0.9,3,1
439,8,0.9,4,1
440,9,0.01,0,0
441,9,0.01,1,0
442,9,0.01,2,0
443,9,0.01,3,0
444,9,0.01,4,0
445,9,0.05,0,0
446,9,0.05,1,1
447,9,0.05,2,1
448,9,0.05,3,0
449,9,0.05,4,1
450,9,0.1,0,1
451,9,0.1,1,1
452,9,0.1,2,1
453,9,0.1,3,0
454,9,0.1,4,1
455,9,0.2,0,1
456,9,0.2,1,1
457,9,0.2,2,0
458,9,0.2,3,1
459,9,0.2,4,1
460,9,0.3,0,1
461,9,0.3,1,1
462,9,0.3,2,1
463,9,0.3,3,1
464,9,0.3,4,1
465,9,0.4,0,1
466,9,0.4,1,1
467,9,0.4,2,1
468,9,0.4,3,1
469,9,0.4,4,1
470,9,0.5,0,0
471,9,0.5,1,1
472,9,0.5,2,1
473,9,0.5,3,1
474,9,0.5,4,1
475,9,0.6,0,1
476,9,0.6,1,1
477,9,0.6,2,1
478,9,0.6,3,1
479,9,0.6,4,0
480,9,0.7,0,1
481,9,0.7,1,1
482,9,0.7,2,1
483,9,0.7,3,1
484,9,0.7,4,0
485,9,0.8,0,1
486,9,0.8,1,1
487,9,0.8,2,1
488,9,0.8,3,1
489,9,0.8,4,1
490,9,0.9,0,1
491,9,0.9,1,1
492,9,0.9,2,1
493,9,0.9,3,1
494,9,0.9,4,1
495,10,0.01,0,0
496,10,0.01,1,0
497,10,0.01,2,0
498,10,0.01,3,0
499,10,0.01,4,0
500,10,0.05,0,0
501,10,0.05,1,1
502,10,0.05,2,1
503,10,0.05,3,0
504,10,0.05,4,1
505,10,0.1,0,1
506,10,0.1,1,1
507,10,0.1,2,1
508,10,0.1,3,1
509,10,0.1,4,1
510,10,0.2,0,1
511,10,0.2,1,1
512,10,0.2,2,0
513,10,0.2,3,1
514,10,0.2,4,1
515,10,0.3,0,1
516,10,0.3,1,1
517,10,0.3,2,1
518,10,0.3,3,1
519,10,0.3,4,1
520,10,0.4,0,1
521,10,0.4,1,1
522,10,0.4,2,1
523,10,0.4,3,1
524,10,0.4,4,1
525,10,0.5,0,0
526,10,0.5,1,1
527,10,0.5,2,1
528,10,0.5,3,1
529,10,0.5,4,1
530,10,0.6,0,1
531,10,0.6,1,1
532,10,0.6,2,1
533,10,0.6,3,1
534,10,0.6,4,0
535,10,0.7,0,1
536,10,0.7,1,1
537,10,0.7,2,1
538,10,0.7,3,1
539,10,0.7,4,0
540,10,0.8,0,1
541,10,0.8,1,1
542,10,0.8,2,1
543,10,0.8,3,1
544,10,0.8,4,1
545,10,0.9,0,1
546,10,0.9,1,1
547,10,0.9,2,1
548,10,0.9,3,1
549,10,0.9,4,1
