,Undifferentiated,Monocyte,Neutrophil,Baso,Mast,Erythroid,Meg,Lymphoid,Eos,DC,counts
0,0,0,0,0,0,0,0,0,0,0,138
1,0,0,0,0,0,0,0,0,0,1,7
2,0,0,0,0,0,0,0,0,1,0,9
3,0,0,0,0,0,0,0,1,0,0,9
4,0,0,0,0,0,0,1,0,0,0,41
5,0,0,0,0,0,0,1,0,1,0,1
6,0,0,0,0,0,1,0,0,0,0,8
7,0,0,0,0,0,1,1,0,0,0,5
8,0,0,0,0,1,0,0,0,0,0,75
9,0,0,0,0,1,0,0,0,0,1,1
10,0,0,0,0,1,0,0,0,1,0,2
11,0,0,0,0,1,0,1,0,0,0,4
12,0,0,0,1,0,0,0,0,0,0,11
13,0,0,0,1,0,0,0,0,1,0,3
14,0,0,1,0,0,0,0,0,0,0,259
15,0,0,1,0,0,0,0,0,1,0,1
16,0,0,1,0,0,0,1,0,0,0,2
17,0,0,1,0,1,0,0,0,0,0,2
18,0,1,0,0,0,0,0,0,0,0,202
19,0,1,0,0,0,0,0,0,0,1,6
20,0,1,0,0,0,0,0,0,1,0,1
21,0,1,0,0,0,0,0,1,0,0,3
22,0,1,0,0,1,0,0,0,0,0,3
23,0,1,1,0,0,0,0,0,0,0,39
24,0,1,1,0,0,0,1,0,0,0,1
25,0,1,1,0,1,0,0,0,0,0,1
26,1,0,0,0,0,0,0,0,0,0,2458
27,1,0,0,0,0,0,0,0,0,1,22
28,1,0,0,0,0,0,0,0,1,0,29
29,1,0,0,0,0,0,0,1,0,0,106
30,1,0,0,0,0,0,0,1,0,1,3
31,1,0,0,0,0,0,1,0,0,0,159
32,1,0,0,0,0,1,0,0,0,0,33
33,1,0,0,0,0,1,1,0,0,0,32
34,1,0,0,0,0,1,1,0,1,0,1
35,1,0,0,0,1,0,0,0,0,0,71
36,1,0,0,0,1,0,0,0,1,0,4
37,1,0,0,0,1,0,1,0,0,0,12
38,1,0,0,0,1,1,0,0,0,0,10
39,1,0,0,0,1,1,0,0,1,0,3
40,1,0,0,0,1,1,1,0,0,0,8
41,1,0,0,1,0,0,0,0,0,0,17
42,1,0,0,1,0,0,0,0,0,1,1
43,1,0,0,1,0,0,0,0,1,0,4
44,1,0,0,1,0,0,1,0,1,0,1
45,1,0,0,1,1,0,0,0,0,0,4
46,1,0,0,1,1,0,0,0,1,0,1
47,1,0,0,1,1,0,1,0,0,0,1
48,1,0,1,0,0,0,0,0,0,0,844
49,1,0,1,0,0,0,0,0,0,1,2
50,1,0,1,0,0,0,0,0,1,0,13
51,1,0,1,0,0,0,1,0,0,0,10
52,1,0,1,0,0,0,1,0,1,0,2
53,1,0,1,0,0,1,1,0,0,0,1
54,1,0,1,0,1,0,0,0,0,0,6
55,1,0,1,0,1,0,0,0,1,0,2
56,1,0,1,0,1,0,1,0,0,0,1
57,1,0,1,1,0,0,0,0,0,0,3
58,1,0,1,1,0,0,0,0,1,0,2
59,1,0,1,1,1,0,0,0,1,0,1
60,1,1,0,0,0,0,0,0,0,0,761
61,1,1,0,0,0,0,0,0,0,1,15
62,1,1,0,0,0,0,0,0,1,0,2
63,1,1,0,0,0,0,0,1,0,0,12
64,1,1,0,0,0,0,0,1,0,1,3
65,1,1,0,0,0,0,1,0,0,0,2
66,1,1,0,0,0,1,0,0,0,0,3
67,1,1,0,0,0,1,1,0,0,0,2
68,1,1,0,0,1,0,0,0,0,0,4
69,1,1,0,0,1,1,1,0,0,0,1
70,1,1,0,1,0,0,0,0,0,0,1
71,1,1,0,1,1,0,0,0,0,0,1
72,1,1,1,0,0,0,0,0,0,0,326
73,1,1,1,0,0,0,0,0,0,1,2
74,1,1,1,0,0,0,0,0,1,0,6
75,1,1,1,0,0,0,0,1,0,0,2
76,1,1,1,0,0,0,1,0,0,0,5
77,1,1,1,0,0,1,0,0,0,0,1
78,1,1,1,0,0,1,1,0,0,0,1
79,1,1,1,0,1,0,0,0,0,0,10
80,1,1,1,0,1,0,0,0,0,1,1
81,1,1,1,1,0,0,0,0,0,0,2
