,Undifferentiated,Monocyte,Neutrophil,Baso,Mast,Erythroid,Meg,Lymphoid,Eos,DC,counts
0,0,0,0,0,0,0,0,0,0,1,7
1,0,0,0,0,0,0,0,1,0,0,9
2,0,0,0,0,0,0,1,0,0,0,40
3,0,0,0,0,0,1,0,0,0,0,6
4,0,0,0,0,0,1,1,0,0,0,5
5,0,0,0,0,1,0,0,0,0,0,67
6,0,0,0,0,1,0,0,0,0,1,1
7,0,0,0,0,1,0,1,0,0,0,4
8,0,0,0,1,0,0,0,0,0,0,151
9,0,0,0,1,0,0,0,0,1,0,10
10,0,0,0,1,0,0,1,0,0,0,2
11,0,0,0,1,0,1,0,0,0,0,2
12,0,0,0,1,1,0,0,0,0,0,9
13,0,0,0,1,1,0,0,0,1,0,1
14,0,0,1,0,0,0,0,0,0,0,253
15,0,0,1,0,0,0,0,0,1,0,1
16,0,0,1,0,0,0,1,0,0,0,2
17,0,0,1,0,1,0,0,0,0,0,2
18,0,0,1,1,0,0,0,0,0,0,6
19,0,1,0,0,0,0,0,0,0,0,198
20,0,1,0,0,0,0,0,0,0,1,6
21,0,1,0,0,0,0,0,1,0,0,3
22,0,1,0,0,1,0,0,0,0,0,1
23,0,1,0,1,0,0,0,0,0,0,5
24,0,1,0,1,1,0,0,0,0,0,2
25,0,1,1,0,0,0,0,0,0,0,37
26,0,1,1,0,0,0,1,0,0,0,1
27,0,1,1,0,1,0,0,0,0,0,1
28,0,1,1,1,0,0,0,0,0,0,2
29,1,0,0,0,0,0,0,0,0,0,2184
30,1,0,0,0,0,0,0,0,0,1,22
31,1,0,0,0,0,0,0,0,1,0,5
32,1,0,0,0,0,0,0,1,0,0,106
33,1,0,0,0,0,0,0,1,0,1,3
34,1,0,0,0,0,0,1,0,0,0,148
35,1,0,0,0,0,1,0,0,0,0,28
36,1,0,0,0,0,1,1,0,0,0,28
37,1,0,0,0,1,0,0,0,0,0,47
38,1,0,0,0,1,0,1,0,0,0,8
39,1,0,0,0,1,1,0,0,0,0,9
40,1,0,0,0,1,1,1,0,0,0,5
41,1,0,0,1,0,0,0,0,0,0,309
42,1,0,0,1,0,0,0,0,0,1,1
43,1,0,0,1,0,0,0,0,1,0,10
44,1,0,0,1,0,0,1,0,0,0,11
45,1,0,0,1,0,0,1,0,1,0,1
46,1,0,0,1,0,1,0,0,0,0,5
47,1,0,0,1,0,1,1,0,0,0,5
48,1,0,0,1,1,0,0,0,0,0,31
49,1,0,0,1,1,0,0,0,1,0,2
50,1,0,0,1,1,0,1,0,0,0,5
51,1,0,0,1,1,1,0,0,0,0,2
52,1,0,0,1,1,1,0,0,1,0,2
53,1,0,0,1,1,1,1,0,0,0,3
54,1,0,1,0,0,0,0,0,0,0,792
55,1,0,1,0,0,0,0,0,0,1,2
56,1,0,1,0,0,0,0,0,1,0,3
57,1,0,1,0,0,0,1,0,0,0,7
58,1,0,1,0,1,0,0,0,0,0,6
59,1,0,1,0,1,0,1,0,0,0,1
60,1,0,1,1,0,0,0,0,0,0,59
61,1,0,1,1,0,0,0,0,1,0,8
62,1,0,1,1,0,0,1,0,0,0,4
63,1,0,1,1,0,0,1,0,1,0,1
64,1,0,1,1,0,1,1,0,0,0,1
65,1,0,1,1,1,0,0,0,0,0,2
66,1,0,1,1,1,0,0,0,1,0,1
67,1,1,0,0,0,0,0,0,0,0,754
68,1,1,0,0,0,0,0,0,0,1,15
69,1,1,0,0,0,0,0,0,1,0,1
70,1,1,0,0,0,0,0,1,0,0,12
71,1,1,0,0,0,0,0,1,0,1,3
72,1,1,0,0,0,0,1,0,0,0,2
73,1,1,0,0,0,1,0,0,0,0,1
74,1,1,0,0,0,1,1,0,0,0,2
75,1,1,0,0,1,0,0,0,0,0,3
76,1,1,0,0,1,1,1,0,0,0,1
77,1,1,0,1,0,0,0,0,0,0,9
78,1,1,0,1,0,1,0,0,0,0,2
79,1,1,0,1,1,0,0,0,0,0,2
80,1,1,1,0,0,0,0,0,0,0,319
81,1,1,1,0,0,0,0,0,0,1,2
82,1,1,1,0,0,0,0,0,1,0,2
83,1,1,1,0,0,0,0,1,0,0,2
84,1,1,1,0,0,0,1,0,0,0,4
85,1,1,1,0,0,1,0,0,0,0,1
86,1,1,1,0,0,1,1,0,0,0,1
87,1,1,1,0,1,0,0,0,0,0,8
88,1,1,1,0,1,0,0,0,0,1,1
89,1,1,1,1,0,0,0,0,0,0,12
90,1,1,1,1,0,0,0,0,1,0,1
91,1,1,1,1,0,0,1,0,0,0,1
92,1,1,1,1,1,0,0,0,0,0,2
