,Monocyte,Neutrophil,Baso,Mast,Lymphoid,Eos,DC,MEP
10,1,1,1,1,0,1,0,1
11,0,0,1,1,0,0,0,1
17,1,1,1,1,0,0,0,1
19,1,1,1,1,1,1,1,1
25,1,1,0,0,0,0,0,0
37,0,0,1,1,0,0,0,1
40,0,0,1,1,0,0,0,1
42,1,1,1,1,0,1,0,1
44,0,0,1,1,0,0,0,1
45,0,0,1,1,0,0,0,1
46,1,1,1,1,0,1,0,1
49,1,1,1,1,0,0,0,1
51,1,1,1,1,0,1,0,1
52,1,1,1,1,0,0,0,1
55,1,1,1,1,0,0,0,1
57,1,1,1,1,0,1,0,1
62,1,1,1,1,0,0,0,1
63,1,1,1,1,1,1,1,1
65,1,1,1,1,1,1,1,1
69,1,1,1,1,0,0,0,1
73,1,1,0,0,0,0,0,0
74,1,1,1,1,0,0,0,1
76,1,1,1,1,0,1,0,1
78,1,1,1,1,0,0,0,1
80,1,1,1,1,0,0,0,1
