cellBC	cell_state
c1847	-2
c1951	-11
c3212	-1
c3372	-15
c3561	-9
c4330	-16
c4480	-11
c4854	-4
c4934	-4
c5023	-1
c5099	-16
c5133	-15
c5247	-9
c5268	-12
c5363	-11
c5397	-10
c5469	-11
c5508	-1
c5553	-16
c5582	-5
c5589	-1
c5594	-15
c5831	-5
c5849	-5
c6098	-16
c6106	-16
c6184	-8
c6209	-15
c6268	-10
c6269	-10
c6280	-8
c6626	-4
c6659	-8
c6715	-6
c6798	-16
c6873	-11
c6968	-1
c7067	-4
c7075	-1
c7129	-12
c7438	-16
c7682	-9
c7750	-1
c7777	-6
c7793	-9
c7866	-5
c7888	-16
c7999	-4
c8025	-2
c8069	-15
c8091	-9
c8217	-11
c8253	-5
c8327	-10
c8394	-10
c8482	-2
c8483	-2
c8528	-12
c8569	-15
c8681	-16
c8735	-2
c8771	-16
c8800	-9
c8813	-12
c8838	-8
c8853	-16
c8856	-8
c8870	-1
c8888	-4
c8905	-8
c8996	-15
c9045	-1
c9072	-1
c9080	-16
c9111	-12
c9136	-6
c9167	-8
c9181	-2
c9226	-11
c9235	-6
c9285	-11
c9292	-5
c9305	-2
c9335	-16
c9407	-9
c9447	-8
c9448	-6
c9484	-16
c9496	-9
c9534	-15
c9551	-6
c9622	-6
c9668	-5
c9669	-5
c9677	-11
c9683	-10
c9694	-10
c9791	-12
c9899	-8
c9932	-12
c10008	-5
c10035	-4
c10110	-11
c10139	-9
c10157	-15
c10335	-15
c10394	-2
c10439	-16
c10445	-5
c10484	-4
c10498	-4
c10499	-4
c10536	-15
c10540	-15
c10666	-6
c10729	-8
c10745	-12
c10754	-15
c10759	-12
c10792	-11
c10844	-11
c10869	-1
c10878	-16
c10955	-8
c11003	-10
c11029	-12
c11048	-8
c11089	-11
c11154	-2
c11194	-12
c11321	-10
c11323	-2
c11331	-2
c11350	-16
c11378	-4
c11408	-10
c11409	-10
c11437	-10
c11446	-12
c11532	-5
c11542	-1
c11567	-9
c11568	-1
c11597	-11
c11628	-9
c11635	-16
c11646	-6
c11672	-2
c11684	-10
c11685	-10
c11701	-1
c11716	-11
c11749	-9
c11760	-5
c11770	-2
c11843	-4
c11877	-15
c11907	-9
c11912	-8
c11936	-8
c11939	-16
c12060	-5
c12109	-5
c12117	-16
c12177	-5
c12221	-4
c12250	-9
c12259	-6
c12269	-12
c12284	-9
c12290	-16
c12299	-2
c12319	-1
c12322	-8
c12381	-4
c12419	-12
c12437	-10
c12440	-10
c12520	-15
c12684	-2
c12728	-11
c12765	-4
c12769	-10
c12800	-15
c12823	-9
c12872	-12
c12881	-16
c12905	-4
c12919	-6
c12935	-2
c12950	-12
c12961	-4
c13008	-10
c13009	-10
c13089	-10
c13201	-12
c13206	-16
c13248	-9
c13253	-4
c13338	-16
c13364	-15
c13384	-12
c13386	-16
c13389	-15
c13405	-11
c13414	-15
c13419	-9
c13440	-9
c13449	-2
c13455	-6
c13532	-9
c13581	-5
c13610	-12
c13645	-2
c13690	-2
c13691	-2
c13711	-12
c13712	-1
c13732	-12
c13761	-10
c13777	-15
c13793	-1
c13798	-10
c13799	-10
c13821	-8
c13907	-11
c13947	-16
c13993	-4
c13998	-2
c14003	-5
c14057	-11
c14070	-12
c14080	-8
c14116	-4
c14150	-16
c14152	-12
c14157	-8
c14161	-5
c14177	-15
c14252	-4
c14267	-11
c14280	-4
c14315	-1
c14324	-10
c14334	-16
c14354	-8
c14463	-15
c14506	-2
c14529	-6
c14530	-2
c14531	-2
c14532	-8
c14568	-15
c14577	-9
c14595	-16
c14600	-1
c14635	-8
c14656	-6
c14692	-5
c14719	-1
c14727	-15
c14749	-15
c14764	-16
c14767	-10
c14780	-6
c14796	-1
c14839	-8
c14882	-2
c14890	-12
c14956	-6
c14979	-9
c14989	-10
c14997	-4
c14999	-11
c15030	-2
c15035	-1
c15051	-1
c15074	-12
c15095	-1
c15108	-12
c15121	-12
c15139	-8
c15179	-2
c15183	-5
c15186	-12
c15190	-12
c15247	-8
c15250	-8
c15266	-6
c15277	-15
c15348	-12
c15366	-16
c15371	-15
c15377	-15
c15391	-12
c15410	-8
c15418	-5
c15420	-10
c15425	-8
c15427	-4
c15450	-12
c15457	-5
c15458	-10
c15495	-11
c15514	-8
c15517	-16
c15530	-9
c15549	-5
c15576	-16
c15589	-1
c15608	-4
c15626	-8
c15631	-2
c15667	-1
c15675	-10
c15705	-8
c15758	-8
c15808	-9
c15821	-4
c15876	-4
c15889	-6
c15906	-2
c15910	-10
c15911	-10
c15965	-12
c16012	-4
c16033	-2
c16050	-1
c16074	-15
c16075	-15
c16078	-1
c16097	-6
c16111	-16
c16122	-6
c16126	-11
c16150	-8
c16184	-11
c16206	-8
c16228	-16
c16233	-10
c16255	-9
c16274	-1
c16277	-4
c16321	-6
c16331	-16
c16337	-1
c16369	-10
c16373	-12
c16388	-10
c16389	-10
c16446	-11
c16546	-6
c16567	-1
c16590	-15
c16606	-4
c16620	-2
c16621	-2
c16624	-6
c16640	-2
c16641	-2
c16657	-9
c16684	-15
c16701	-2
c16724	-12
c16726	-2
c16729	-5
c16732	-11
c16773	-15
c16814	-8
c16827	-16
c16828	-16
c16849	-16
c16888	-16
c16914	-6
c16918	-4
c16920	-1
c16962	-11
c16970	-11
c16992	-5
c17041	-12
c17071	-11
c17076	-12
c17083	-16
c17125	-12
c17128	-8
c17134	-2
c17150	-10
c17187	-12
c17190	-10
c17191	-10
c17197	-4
c17234	-2
c17241	-15
c17259	-12
c17265	-4
c17291	-16
c17302	-11
c17344	-8
c17356	-11
c17358	-6
c17369	-5
c17397	-11
c17406	-5
