	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
c4689	10	0	0	13	-1	-1	0	7	-1	34	19	0	0	0	0	49	48	32	-1	-1	0	0	7	-1	21	1	0	48	0	32
c4745	0	13	38	19	7	-1	-1	0	1	1	-1	-1	-1	2	33	0	-1	36	0	0	0	39	23	-1	0	0	13	0	0	19
c4988	0	0	1	32	0	-1	35	-1	9	20	0	10	13	0	-1	0	14	15	-1	10	22	0	-1	0	24	0	41	0	15	2
c5058	-1	-1	0	0	19	-1	0	4	-1	0	0	0	-1	0	19	0	0	0	0	0	0	-1	-1	22	24	-1	2	-1	0	0
c6261	-1	0	44	-1	-1	-1	0	7	20	0	-1	0	32	-1	0	0	4	0	23	-1	-1	0	36	0	-1	0	0	0	38	15
c7407	0	0	-1	0	-1	0	0	-1	-1	0	0	0	0	21	0	19	-1	10	-1	0	-1	0	19	7	24	-1	-1	0	20	5
c7615	0	13	0	15	3	-1	0	0	0	-1	0	0	4	0	-1	0	0	0	0	10	0	0	19	14	24	0	-1	-1	0	0
c7671	0	-1	0	0	0	34	0	0	9	0	-1	-1	-1	21	0	-1	-1	49	0	-1	0	43	19	12	24	19	0	0	0	-1
c7682	0	0	-1	0	0	0	0	0	0	0	-1	0	-1	-1	0	0	-1	-1	-1	12	0	0	0	39	0	-1	13	-1	38	-1
c7782	0	-1	44	-1	0	0	0	0	0	0	-1	50	14	-1	-1	0	4	0	-1	0	0	12	7	-1	0	-1	13	0	38	15
c8126	35	-1	-1	0	11	0	0	0	0	8	-1	0	-1	0	-1	0	1	9	14	0	-1	0	0	0	20	0	20	10	50	0
c9215	39	0	0	0	-1	0	0	-1	0	0	0	-1	0	-1	0	49	0	-1	0	-1	-1	36	36	32	21	0	-1	0	13	-1
c9463	1	0	0	0	0	0	0	-1	0	0	-1	-1	0	-1	19	-1	7	-1	50	15	-1	0	7	-1	21	0	0	0	0	0
c9645	-1	-1	0	-1	0	0	0	-1	0	36	-1	-1	50	0	0	49	-1	0	0	13	0	0	0	-1	39	0	16	19	-1	48
