	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
c869	-1	15	-1	-1	-1	0	29	24	38	37	-1	11	0	37	41	43	37	-1	14	0	-1	-1	0	18	4	0	43	-1	0	29
c997	0	15	0	17	-1	33	0	-1	38	46	-1	11	-1	37	41	-1	0	0	0	15	-1	0	0	18	-1	-1	43	41	0	20
c1136	0	15	0	0	-1	0	46	0	38	-1	-1	11	0	37	41	-1	-1	12	0	0	1	0	0	18	0	-1	-1	41	-1	0
c1723	50	-1	0	-1	0	0	0	-1	38	-1	-1	11	-1	-1	41	38	0	0	0	0	0	0	0	18	29	0	-1	41	0	0
c1735	2	15	0	10	0	0	-1	0	38	-1	0	11	0	37	0	-1	0	0	3	4	0	22	0	18	0	12	43	0	0	2
c1824	-1	-1	-1	-1	38	0	-1	0	38	0	46	11	0	37	0	0	20	0	-1	-1	0	22	0	18	0	12	43	0	0	-1
c2040	0	-1	-1	-1	-1	-1	0	0	38	-1	-1	-1	0	37	41	0	41	28	0	0	-1	4	-1	18	0	0	43	41	0	20
c2049	33	-1	21	29	0	0	0	12	38	0	-1	11	4	37	41	38	0	0	0	0	0	-1	0	-1	29	-1	43	41	0	0
c2365	35	15	0	0	37	15	-1	-1	38	0	-1	11	45	37	41	38	29	0	0	43	-1	0	4	18	29	0	43	41	0	0
c2377	0	-1	0	-1	31	0	28	-1	38	-1	0	11	0	37	0	-1	-1	0	43	4	0	22	0	-1	0	-1	43	0	0	-1
c2428	-1	15	0	0	47	-1	0	0	38	0	0	11	0	37	0	16	0	6	-1	0	0	22	0	18	0	12	43	21	-1	0
c2508	0	15	0	0	37	0	-1	15	-1	-1	-1	-1	-1	37	41	38	29	0	0	0	0	0	0	-1	29	42	43	41	-1	46
c2809	-1	-1	0	-1	0	0	-1	0	-1	-1	41	-1	-1	37	0	0	6	0	-1	6	19	22	0	-1	0	12	43	0	0	1
