cellBC	cell_state
c1084	-9
c1147	-9
c1218	-13
c1245	-11
c1248	-10
c1290	-9
c1335	-9
c1412	-10
c1459	-10
c1484	-9
c1503	-9
c1548	-11
c1566	-6
c1683	-13
c1806	-13
c1820	-1
c1823	-10
c1835	-1
c1851	-10
c1919	-9
c1966	-1
c1973	-1
c2088	-10
c2110	-1
c2123	-9
c2137	-11
c2202	-11
c2203	-11
c2262	-9
c2301	-10
c2324	-9
c2329	-1
c2331	-9
c2333	-13
c2370	-1
c2384	-11
c2403	-1
c2414	-6
c2438	-11
c2478	-9
c2483	-9
c2496	-13
c2501	-11
c2530	-1
c2536	-10
c2554	-9
c2557	-9
c2590	-6
c2607	-9
c2625	-1
c2642	-10
c2650	-1
c2672	-1
c2697	-9
c2706	-9
c2721	-1
c2732	-9
c2763	-1
c2773	-1
c2817	-9
c2818	-1
c2836	-1
c2874	-1
c2888	-9
c2889	-9
c2894	-1
c2918	-1
c2943	-6
c2968	-1
c3015	-10
c3024	-1
c3057	-13
c3072	-9
c3134	-1
c3191	-10
c3199	-6
c3220	-13
c3223	-1
c3226	-1
c3231	-13
c3255	-1
c3257	-13
c3279	-1
c3305	-9
c3310	-11
c3313	-1
c3323	-1
c3347	-11
c3350	-1
c3374	-9
c3399	-6
c3406	-11
c3422	-13
c3435	-1
c3436	-9
c3438	-13
c3439	-13
c3477	-10
c3482	-1
c3505	-13
c3522	-13
c3559	-11
c3587	-10
c3595	-10
c3636	-9
c3652	-13
c3668	-11
c3673	-10
c3687	-10
c3697	-9
c3703	-10
c3708	-11
c3709	-11
c3739	-10
c3762	-1
c3786	-10
c3792	-1
c3797	-13
c3798	-1
c3811	-1
c3864	-9
c3865	-9
c3874	-1
c3886	-9
c3887	-9
c3904	-11
c3928	-9
c3932	-6
c3952	-6
c3964	-11
c3967	-9
c3968	-1
c3970	-9
c3996	-1
c4022	-11
c4028	-13
c4049	-9
c4050	-6
c4065	-1
c4089	-9
c4142	-1
c4160	-11
c4173	-6
c4211	-10
c4213	-1
c4225	-6
c4227	-6
c4258	-9
c4259	-9
c4264	-9
c4270	-6
c4275	-6
c4282	-9
c4283	-9
c4289	-1
c4294	-13
c4296	-10
c4301	-1
c4305	-9
c4314	-1
c4333	-9
c4365	-10
c4374	-1
c4394	-13
c4408	-6
c4423	-1
c4433	-11
c4478	-9
c4484	-9
c4485	-9
c4486	-9
c4487	-9
c4520	-13
c4546	-11
c4564	-9
c4568	-13
c4572	-9
c4587	-9
c4588	-11
c4590	-1
c4603	-11
c4609	-1
c4620	-1
c4627	-10
c4629	-1
c4634	-9
c4647	-1
c4676	-13
c4697	-11
c4702	-9
c4708	-6
c4709	-6
c4712	-1
c4733	-6
c4755	-6
c4760	-1
c4770	-13
