	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
c1641	0	0	27	45	0	7	19	-1	0	-1	0	27	0	20	-1	27	-1	0	0	11	0	0	9	-1	0	-1	0	-1	0	-1
c2080	44	0	28	0	0	0	0	50	0	-1	-1	-1	-1	20	-1	-1	0	0	0	0	0	-1	27	27	17	-1	0	0	26	0
c2192	0	0	0	17	17	27	-1	8	0	0	0	0	7	-1	0	0	0	11	0	0	0	0	27	0	27	0	-1	39	0	0
c2332	-1	27	0	-1	5	0	0	17	0	0	0	19	48	20	0	0	-1	-1	0	45	-1	0	-1	0	0	11	-1	5	0	0
c2674	0	27	-1	17	5	0	28	17	0	-1	0	19	48	-1	0	0	-1	-1	-1	45	-1	0	-1	0	-1	11	-1	-1	27	0
c2736	35	43	14	14	11	49	-1	0	0	33	-1	45	0	-1	0	0	40	1	17	7	0	49	0	0	17	-1	-1	0	0	-1
c2851	28	0	20	0	17	-1	-1	0	0	-1	0	0	0	20	0	0	-1	0	0	11	0	13	-1	0	0	0	4	-1	0	0
c3316	0	28	-1	0	11	0	-1	0	0	-1	45	-1	0	20	-1	-1	45	50	0	-1	28	-1	0	0	0	0	0	0	0	17
c3679	0	27	0	-1	-1	0	0	14	0	0	0	19	48	20	0	0	11	-1	27	45	-1	0	29	0	27	11	-1	0	-1	28
c3731	27	27	0	-1	0	0	0	0	0	0	0	19	48	-1	0	0	-1	-1	0	-1	0	-1	0	0	17	-1	-1	-1	-1	-1
c3857	0	27	28	-1	5	0	0	-1	0	-1	0	-1	-1	20	0	0	0	-1	0	45	7	0	-1	0	0	11	-1	5	24	0
c3942	44	-1	0	0	0	0	0	50	-1	31	0	0	17	20	0	11	0	0	0	0	0	0	0	0	17	0	0	0	26	0
c3989	41	-1	0	0	19	21	7	27	0	0	0	-1	48	20	0	0	0	-1	17	45	0	0	48	42	0	11	-1	0	0	43
c4060	-1	27	-1	27	30	0	0	0	7	7	0	19	-1	-1	0	0	-1	-1	0	-1	-1	0	0	0	0	11	-1	0	7	0
c4283	0	0	0	-1	0	0	0	50	0	0	7	-1	-1	20	0	0	0	0	-1	0	0	-1	0	27	0	0	-1	13	26	-1
c4338	0	0	35	0	11	-1	20	0	36	-1	45	-1	0	20	20	0	50	-1	0	11	28	0	0	29	0	-1	0	0	0	0
c4469	0	0	0	-1	31	0	27	0	0	0	0	48	0	-1	0	0	0	-1	0	0	-1	0	43	-1	0	11	-1	0	0	0
c4485	0	0	-1	-1	45	-1	0	0	0	0	-1	8	27	20	-1	36	0	0	0	11	0	0	0	0	0	0	-1	0	-1	-1
c4508	-1	27	0	0	30	0	-1	-1	0	-1	0	19	48	20	0	-1	0	-1	-1	45	-1	0	-1	0	0	11	-1	0	7	0
c4560	44	-1	-1	0	0	0	-1	50	7	0	-1	0	17	20	0	0	28	0	0	12	-1	0	0	0	17	44	0	0	26	0
c4599	0	-1	-1	0	45	-1	0	38	-1	0	0	0	0	20	-1	0	39	-1	-1	11	0	0	13	0	0	-1	0	0	0	0
c4712	0	27	0	-1	0	0	0	35	27	0	0	19	48	-1	0	0	0	-1	0	45	0	0	-1	0	49	11	-1	0	-1	-1
c4880	27	0	0	0	-1	0	0	0	0	5	1	0	0	20	0	33	0	0	27	0	27	0	5	0	50	-1	-1	0	-1	20
