cellBC	cell_state
c3173	-12
c4019	-15
c4376	-5
c4619	-15
c4737	-16
c4778	-6
c5754	-8
c5763	-3
c6322	-6
c6501	-10
c6531	-15
c6632	-5
c6802	-4
c6875	-4
c6915	-16
c7179	-6
c7183	-15
c7407	-12
c7560	-9
c7741	-3
c7840	-8
c7918	-5
c7965	-10
c8247	-8
c8274	-3
c8342	-12
c8474	-4
c8621	-12
c9045	-6
c9058	-10
c9090	-10
c9666	-3
c9815	-2
c9928	-12
c10029	-9
c10168	-5
c10235	-16
c10324	-15
c10451	-15
c10466	-4
c10495	-3
c10524	-8
c10664	-10
c10783	-3
c10787	-16
c11057	-9
c11099	-10
c11197	-12
c11242	-16
c11402	-15
c11405	-15
c11495	-3
c11498	-16
c11537	-3
c11565	-15
c11606	-16
c11680	-10
c11710	-4
c11747	-4
c11987	-12
c12122	-5
c12159	-6
c12178	-10
c12222	-9
c12255	-8
c12268	-12
c12306	-15
c12354	-15
c12364	-12
c12435	-5
c12599	-2
c12631	-5
c12703	-11
c12793	-5
c12829	-15
c12877	-6
c12881	-2
c12931	-2
c12967	-5
c12970	-15
c13050	-8
c13080	-15
c13299	-10
c13321	-4
c13350	-16
c13363	-4
c13409	-6
c13726	-10
c13868	-11
c13904	-5
c13927	-4
c13940	-16
c14006	-10
c14242	-6
c14504	-4
c14670	-9
c14698	-2
c14779	-15
c14840	-4
c14875	-8
c14917	-3
c15006	-4
c15022	-9
c15048	-11
c15300	-15
c15351	-5
c15367	-9
c15368	-9
c15403	-2
c15526	-5
c15544	-12
c15567	-11
c15627	-15
c15708	-3
c15894	-10
c15942	-10
c15943	-10
c15969	-9
c15983	-9
c16152	-3
c16163	-9
c16177	-8
c16187	-6
c16191	-12
c16251	-8
c16278	-12
c16292	-12
c16321	-11
c16364	-4
c16425	-3
c16585	-10
c16639	-10
c16685	-6
c16726	-16
c16747	-8
c16768	-11
c16781	-5
c16789	-3
c16797	-9
c16805	-12
c16823	-11
c16881	-6
c16885	-11
c16923	-8
c16990	-4
c17087	-10
c17106	-12
c17119	-11
c17121	-12
c17207	-11
c17247	-9
c17254	-5
c17270	-5
c17311	-4
c17332	-9
c17459	-3
c17461	-11
c17465	-8
c17475	-9
c17567	-12
c17581	-4
c17658	-4
c17737	-5
c17760	-4
c17767	-3
c17773	-6
c17783	-15
c17826	-9
c17831	-3
c17840	-8
c17848	-12
c17852	-15
c17893	-6
c17998	-4
c18052	-3
c18098	-12
c18117	-12
c18120	-9
c18255	-4
c18261	-12
c18306	-8
c18340	-2
c18354	-12
c18386	-12
c18403	-9
c18404	-8
c18407	-11
c18411	-2
c18460	-2
c18503	-5
c18511	-16
c18595	-10
c18632	-12
c18648	-5
c18797	-16
c18830	-6
c18841	-15
c18842	-4
c18847	-4
c18859	-10
c18877	-2
c18886	-11
c18950	-15
c18983	-12
c18987	-12
c19016	-2
c19125	-4
c19194	-9
c19222	-8
c19288	-15
c19313	-3
c19339	-9
c19347	-12
c19348	-12
c19417	-5
c19437	-11
c19452	-3
c19529	-5
c19567	-15
c19568	-9
c19595	-3
c19609	-4
c19615	-12
c19630	-15
