,map_type,cell_types,num_cells,fate_ind,tree_ind,method,jaccard_dist,sum_of_min_symmetric_diff,precision,recall,fpr
0,graph,6,50,0002,0,Carta-tree,0.33333333333333337,1,0.8,0.8,0.019230769230769232
1,graph,6,50,0002,0,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
2,graph,6,50,0002,0,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
3,graph,6,50,0002,0,EvoC,0.33333333333333337,1,0.8,0.8,0.019230769230769232
4,graph,6,50,0002,1,Carta-tree,0.33333333333333337,1,0.8,0.8,0.019230769230769232
5,graph,6,50,0002,1,Carta-DAG,0.4,3,1.0,0.6,0.0
6,graph,6,50,0002,1,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
7,graph,6,50,0002,1,EvoC,0.75,5,0.4,0.4,0.057692307692307696
8,graph,6,50,0002,2,Carta-tree,0.5714285714285714,3,0.6,0.6,0.038461538461538464
9,graph,6,50,0002,2,Carta-DAG,0.4,3,1.0,0.6,0.0
10,graph,6,50,0002,2,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
11,graph,6,50,0002,2,EvoC,0.75,4,0.4,0.4,0.057692307692307696
12,graph,6,50,0002,3,Carta-tree,0.33333333333333337,1,0.8,0.8,0.019230769230769232
13,graph,6,50,0002,3,Carta-DAG,0.4,3,1.0,0.6,0.0
14,graph,6,50,0002,3,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
15,graph,6,50,0002,3,EvoC,0.33333333333333337,1,0.8,0.8,0.019230769230769232
16,graph,6,50,0002,4,Carta-tree,0.33333333333333337,1,0.8,0.8,0.019230769230769232
17,graph,6,50,0002,4,Carta-DAG,0.4,3,1.0,0.6,0.0
18,graph,6,50,0002,4,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
19,graph,6,50,0002,4,EvoC,0.33333333333333337,1,0.8,0.8,0.019230769230769232
20,graph,6,50,0003,0,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
21,graph,6,50,0003,0,Carta-DAG,0.5,2,0.75,0.6,0.019230769230769232
22,graph,6,50,0003,0,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
23,graph,6,50,0003,0,EvoC,0.75,4,0.4,0.4,0.057692307692307696
24,graph,6,50,0003,1,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
25,graph,6,50,0003,1,Carta-DAG,0.4,2,1.0,0.6,0.0
26,graph,6,50,0003,1,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
27,graph,6,50,0003,1,EvoC,0.8888888888888888,6,0.2,0.2,0.07692307692307693
28,graph,6,50,0003,2,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
29,graph,6,50,0003,2,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
30,graph,6,50,0003,2,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
31,graph,6,50,0003,2,EvoC,0.5714285714285714,3,0.6,0.6,0.038461538461538464
32,graph,6,50,0003,3,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
33,graph,6,50,0003,3,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
34,graph,6,50,0003,3,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
35,graph,6,50,0003,3,EvoC,0.5714285714285714,3,0.6,0.6,0.038461538461538464
36,graph,6,50,0003,4,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
37,graph,6,50,0003,4,Carta-DAG,0.4,2,1.0,0.6,0.0
38,graph,6,50,0003,4,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
39,graph,6,50,0003,4,EvoC,0.8888888888888888,6,0.2,0.2,0.07692307692307693
40,graph,6,50,0004,0,Carta-tree,0.5714285714285714,4,0.6,0.6,0.038461538461538464
41,graph,6,50,0004,0,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
42,graph,6,50,0004,0,ICE-FASE,0.5714285714285714,3,0.6,0.6,0.038461538461538464
43,graph,6,50,0004,0,EvoC,0.75,4,0.4,0.4,0.057692307692307696
44,graph,6,50,0004,1,Carta-tree,0.5714285714285714,4,0.6,0.6,0.038461538461538464
45,graph,6,50,0004,1,Carta-DAG,0.33333333333333337,1,0.8,0.8,0.019230769230769232
46,graph,6,50,0004,1,ICE-FASE,0.5714285714285714,3,0.6,0.6,0.038461538461538464
47,graph,6,50,0004,1,EvoC,0.75,4,0.4,0.4,0.057692307692307696
48,graph,6,50,0004,2,Carta-tree,0.5714285714285714,4,0.6,0.6,0.038461538461538464
49,graph,6,50,0004,2,Carta-DAG,0.4,2,1.0,0.6,0.0
50,graph,6,50,0004,2,ICE-FASE,0.5714285714285714,3,0.6,0.6,0.038461538461538464
51,graph,6,50,0004,2,EvoC,0.75,5,0.4,0.4,0.057692307692307696
52,graph,6,50,0004,3,Carta-tree,0.5714285714285714,3,0.6,0.6,0.038461538461538464
53,graph,6,50,0004,3,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
54,graph,6,50,0004,3,ICE-FASE,0.5714285714285714,3,0.6,0.6,0.038461538461538464
55,graph,6,50,0004,3,EvoC,0.75,4,0.4,0.4,0.057692307692307696
56,graph,6,50,0004,4,Carta-tree,0.5714285714285714,4,0.6,0.6,0.038461538461538464
57,graph,6,50,0004,4,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
58,graph,6,50,0004,4,ICE-FASE,0.5714285714285714,3,0.6,0.6,0.038461538461538464
59,graph,6,50,0004,4,EvoC,0.75,4,0.4,0.4,0.057692307692307696
60,graph,6,50,0005,0,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
61,graph,6,50,0005,0,Carta-DAG,0.19999999999999996,2,1.0,0.8,0.0
62,graph,6,50,0005,0,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
63,graph,6,50,0005,0,EvoC,0.5714285714285714,3,0.6,0.6,0.038461538461538464
64,graph,6,50,0005,1,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
65,graph,6,50,0005,1,Carta-DAG,0.19999999999999996,2,1.0,0.8,0.0
66,graph,6,50,0005,1,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
67,graph,6,50,0005,1,EvoC,0.5714285714285714,3,0.6,0.6,0.038461538461538464
68,graph,6,50,0005,2,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
69,graph,6,50,0005,2,Carta-DAG,0.19999999999999996,2,1.0,0.8,0.0
70,graph,6,50,0005,2,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
71,graph,6,50,0005,2,EvoC,0.75,4,0.4,0.4,0.057692307692307696
72,graph,6,50,0005,3,Carta-tree,0.33333333333333337,2,0.8,0.8,0.019230769230769232
73,graph,6,50,0005,3,Carta-DAG,0.19999999999999996,2,1.0,0.8,0.0
74,graph,6,50,0005,3,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
75,graph,6,50,0005,3,EvoC,0.33333333333333337,2,0.8,0.8,0.019230769230769232
76,graph,6,50,0005,4,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
77,graph,6,50,0005,4,Carta-DAG,0.4,4,1.0,0.6,0.0
78,graph,6,50,0005,4,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
79,graph,6,50,0005,4,EvoC,0.5714285714285714,6,0.6,0.6,0.038461538461538464
80,graph,6,50,0006,0,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
81,graph,6,50,0006,0,Carta-DAG,0.4,3,1.0,0.6,0.0
82,graph,6,50,0006,0,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
83,graph,6,50,0006,0,EvoC,0.33333333333333337,1,0.8,0.8,0.019230769230769232
84,graph,6,50,0006,1,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
85,graph,6,50,0006,1,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
86,graph,6,50,0006,1,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
87,graph,6,50,0006,1,EvoC,0.33333333333333337,1,0.8,0.8,0.019230769230769232
88,graph,6,50,0006,2,Carta-tree,0.33333333333333337,2,0.8,0.8,0.019230769230769232
89,graph,6,50,0006,2,Carta-DAG,0.5,2,0.75,0.6,0.019230769230769232
90,graph,6,50,0006,2,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
91,graph,6,50,0006,2,EvoC,0.33333333333333337,1,0.8,0.8,0.019230769230769232
92,graph,6,50,0006,3,Carta-tree,0.33333333333333337,1,0.8,0.8,0.019230769230769232
93,graph,6,50,0006,3,Carta-DAG,0.4,3,1.0,0.6,0.0
94,graph,6,50,0006,3,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
95,graph,6,50,0006,3,EvoC,0.33333333333333337,1,0.8,0.8,0.019230769230769232
96,graph,6,50,0006,4,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
97,graph,6,50,0006,4,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
98,graph,6,50,0006,4,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
99,graph,6,50,0006,4,EvoC,0.5714285714285714,2,0.6,0.6,0.038461538461538464
100,graph,6,50,0007,0,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
101,graph,6,50,0007,0,Carta-DAG,0.4,2,1.0,0.6,0.0
102,graph,6,50,0007,0,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
103,graph,6,50,0007,0,EvoC,0.5714285714285714,3,0.6,0.6,0.038461538461538464
104,graph,6,50,0007,1,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
105,graph,6,50,0007,1,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
106,graph,6,50,0007,1,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
107,graph,6,50,0007,1,EvoC,0.5714285714285714,3,0.6,0.6,0.038461538461538464
108,graph,6,50,0007,2,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
109,graph,6,50,0007,2,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
110,graph,6,50,0007,2,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
111,graph,6,50,0007,2,EvoC,0.5714285714285714,3,0.6,0.6,0.038461538461538464
112,graph,6,50,0007,3,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
113,graph,6,50,0007,3,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
114,graph,6,50,0007,3,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
115,graph,6,50,0007,3,EvoC,0.5714285714285714,3,0.6,0.6,0.038461538461538464
116,graph,6,50,0007,4,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
117,graph,6,50,0007,4,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
118,graph,6,50,0007,4,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
119,graph,6,50,0007,4,EvoC,0.75,5,0.4,0.4,0.057692307692307696
120,graph,6,50,0008,0,Carta-tree,0.33333333333333337,2,0.8,0.8,0.019230769230769232
121,graph,6,50,0008,0,Carta-DAG,0.5,2,0.75,0.6,0.019230769230769232
122,graph,6,50,0008,0,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
123,graph,6,50,0008,0,EvoC,0.75,4,0.4,0.4,0.057692307692307696
124,graph,6,50,0008,1,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
125,graph,6,50,0008,1,Carta-DAG,0.5,2,0.75,0.6,0.019230769230769232
126,graph,6,50,0008,1,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
127,graph,6,50,0008,1,EvoC,0.75,4,0.4,0.4,0.057692307692307696
128,graph,6,50,0008,2,Carta-tree,0.33333333333333337,2,0.8,0.8,0.019230769230769232
129,graph,6,50,0008,2,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
130,graph,6,50,0008,2,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
131,graph,6,50,0008,2,EvoC,0.5714285714285714,2,0.6,0.6,0.038461538461538464
132,graph,6,50,0008,3,Carta-tree,0.33333333333333337,2,0.8,0.8,0.019230769230769232
133,graph,6,50,0008,3,Carta-DAG,0.5,2,0.75,0.6,0.019230769230769232
134,graph,6,50,0008,3,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
135,graph,6,50,0008,3,EvoC,0.75,4,0.4,0.4,0.057692307692307696
136,graph,6,50,0008,4,Carta-tree,0.75,3,0.4,0.4,0.057692307692307696
137,graph,6,50,0008,4,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
138,graph,6,50,0008,4,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
139,graph,6,50,0008,4,EvoC,0.75,4,0.4,0.4,0.057692307692307696
140,graph,6,50,0009,0,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
141,graph,6,50,0009,0,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
142,graph,6,50,0009,0,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
143,graph,6,50,0009,0,EvoC,0.5714285714285714,2,0.6,0.6,0.038461538461538464
144,graph,6,50,0009,1,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
145,graph,6,50,0009,1,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
146,graph,6,50,0009,1,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
147,graph,6,50,0009,1,EvoC,0.5714285714285714,2,0.6,0.6,0.038461538461538464
148,graph,6,50,0009,2,Carta-tree,0.33333333333333337,1,0.8,0.8,0.019230769230769232
149,graph,6,50,0009,2,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
150,graph,6,50,0009,2,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
151,graph,6,50,0009,2,EvoC,0.5714285714285714,4,0.6,0.6,0.038461538461538464
152,graph,6,50,0009,3,Carta-tree,0.33333333333333337,1,0.8,0.8,0.019230769230769232
153,graph,6,50,0009,3,Carta-DAG,0.5,2,0.75,0.6,0.019230769230769232
154,graph,6,50,0009,3,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
155,graph,6,50,0009,3,EvoC,0.75,4,0.4,0.4,0.057692307692307696
156,graph,6,50,0009,4,Carta-tree,0.33333333333333337,1,0.8,0.8,0.019230769230769232
157,graph,6,50,0009,4,Carta-DAG,0.4,2,1.0,0.6,0.0
158,graph,6,50,0009,4,ICE-FASE,0.33333333333333337,1,0.8,0.8,0.019230769230769232
159,graph,6,50,0009,4,EvoC,0.5714285714285714,2,0.6,0.6,0.038461538461538464
160,graph,6,50,0010,0,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
161,graph,6,50,0010,0,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
162,graph,6,50,0010,0,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
163,graph,6,50,0010,0,EvoC,0.75,5,0.4,0.4,0.057692307692307696
164,graph,6,50,0010,1,Carta-tree,0.5714285714285714,3,0.6,0.6,0.038461538461538464
165,graph,6,50,0010,1,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
166,graph,6,50,0010,1,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
167,graph,6,50,0010,1,EvoC,0.5714285714285714,4,0.6,0.6,0.038461538461538464
168,graph,6,50,0010,2,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
169,graph,6,50,0010,2,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
170,graph,6,50,0010,2,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
171,graph,6,50,0010,2,EvoC,0.5714285714285714,3,0.6,0.6,0.038461538461538464
172,graph,6,50,0010,3,Carta-tree,0.5714285714285714,3,0.6,0.6,0.038461538461538464
173,graph,6,50,0010,3,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
174,graph,6,50,0010,3,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
175,graph,6,50,0010,3,EvoC,0.5714285714285714,5,0.6,0.6,0.038461538461538464
176,graph,6,50,0010,4,Carta-tree,0.5714285714285714,3,0.6,0.6,0.038461538461538464
177,graph,6,50,0010,4,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
178,graph,6,50,0010,4,ICE-FASE,0.5714285714285714,3,0.6,0.6,0.038461538461538464
179,graph,6,50,0010,4,EvoC,0.75,5,0.4,0.4,0.057692307692307696
180,graph,6,50,0011,0,Carta-tree,0.33333333333333337,2,0.8,0.8,0.019230769230769232
181,graph,6,50,0011,0,Carta-DAG,0.4,4,1.0,0.6,0.0
182,graph,6,50,0011,0,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
183,graph,6,50,0011,0,EvoC,0.33333333333333337,2,0.8,0.8,0.019230769230769232
184,graph,6,50,0011,1,Carta-tree,0.33333333333333337,2,0.8,0.8,0.019230769230769232
185,graph,6,50,0011,1,Carta-DAG,0.4,4,1.0,0.6,0.0
186,graph,6,50,0011,1,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
187,graph,6,50,0011,1,EvoC,0.5714285714285714,3,0.6,0.6,0.038461538461538464
188,graph,6,50,0011,2,Carta-tree,0.5714285714285714,3,0.6,0.6,0.038461538461538464
189,graph,6,50,0011,2,Carta-DAG,0.4,5,1.0,0.6,0.0
190,graph,6,50,0011,2,ICE-FASE,0.5714285714285714,3,0.6,0.6,0.038461538461538464
191,graph,6,50,0011,2,EvoC,0.5714285714285714,3,0.6,0.6,0.038461538461538464
192,graph,6,50,0011,3,Carta-tree,0.33333333333333337,2,0.8,0.8,0.019230769230769232
193,graph,6,50,0011,3,Carta-DAG,0.19999999999999996,2,1.0,0.8,0.0
194,graph,6,50,0011,3,ICE-FASE,0.33333333333333337,2,0.8,0.8,0.019230769230769232
195,graph,6,50,0011,3,EvoC,0.33333333333333337,2,0.8,0.8,0.019230769230769232
196,graph,6,50,0011,4,Carta-tree,0.5714285714285714,2,0.6,0.6,0.038461538461538464
197,graph,6,50,0011,4,Carta-DAG,0.19999999999999996,1,1.0,0.8,0.0
198,graph,6,50,0011,4,ICE-FASE,0.5714285714285714,2,0.6,0.6,0.038461538461538464
199,graph,6,50,0011,4,EvoC,0.5714285714285714,4,0.6,0.6,0.038461538461538464
200,graph,6,50,0017,0,Carta-tree,0.75,8,0.4,0.4,0.057692307692307696
201,graph,6,50,0017,0,Carta-DAG,0.33333333333333337,2,0.8,0.8,0.019230769230769232
