cellBC	cell_state
c478	-6
c1530	-2
c2083	-1
c2491	-16
c2909	-5
c2963	-2
c3045	-3
c3327	-14
c3352	-14
c3374	-16
c3448	-10
c3527	-16
c3642	-5
c3647	-14
c3697	-16
c3826	-3
c3905	-3
c4223	-6
c4300	-2
c4437	-16
c4443	-16
c4453	-5
c4475	-14
c4568	-3
c4722	-14
c4755	-1
c4850	-5
c4930	-14
c5042	-5
c5045	-16
c5094	-6
c5142	-6
c5222	-5
c5383	-1
c5435	-14
c5481	-3
c5522	-16
c5543	-3
c5617	-10
c5767	-1
c5857	-6
c5982	-14
c6007	-14
c6015	-2
c6149	-10
c6163	-5
c6178	-6
c6185	-6
c6218	-2
c6251	-6
c6266	-16
c6275	-3
c6353	-2
c6392	-1
c6462	-16
c6463	-16
c6485	-3
c6505	-2
c6597	-6
c6603	-3
c6610	-3
c6617	-14
c6637	-2
c6659	-3
c6731	-2
c6785	-14
c6831	-10
c6885	-14
c6889	-14
c6952	-10
c6962	-2
c6973	-2
c6976	-3
c7049	-2
c7100	-10
c7108	-3
c7136	-3
c7186	-2
c7226	-14
c7257	-5
c7265	-10
c7271	-2
c7321	-3
c7335	-14
c7420	-2
c7423	-1
c7437	-6
c7449	-1
c7459	-3
c7478	-6
c7513	-3
c7514	-2
c7599	-1
c7607	-16
c7657	-2
c7686	-6
c7719	-3
c7757	-3
c7760	-5
c7836	-5
c7846	-3
c7862	-6
c7968	-10
c8009	-3
c8057	-3
c8071	-2
c8098	-5
c8109	-2
c8140	-14
c8167	-2
c8170	-14
c8217	-16
c8248	-3
c8325	-6
c8397	-1
c8478	-1
c8480	-10
c8481	-10
c8513	-16
c8539	-14
c8566	-1
c8571	-6
c8572	-1
c8575	-6
c8583	-16
c8602	-3
c8642	-10
c8657	-10
c8662	-16
c8717	-1
c8745	-10
c8756	-10
c8787	-5
c8806	-16
c8820	-3
c8830	-5
c8843	-14
c8935	-2
c8987	-1
c8989	-3
c9007	-14
c9016	-16
c9090	-10
c9094	-2
c9172	-5
c9185	-3
c9187	-10
c9258	-6
c9263	-6
c9266	-10
c9287	-10
c9326	-16
c9342	-1
c9359	-14
c9408	-14
c9444	-3
c9471	-3
c9493	-5
c9502	-16
c9564	-10
c9589	-6
c9596	-5
c9600	-10
c9609	-5
c9620	-3
c9642	-2
c9660	-2
c9671	-2
c9686	-5
c9690	-16
c9717	-5
c9748	-3
c9790	-16
c9800	-2
c9804	-1
c9843	-3
c9853	-6
c9861	-1
c9878	-6
c9930	-14
c9964	-6
c9978	-10
c9980	-2
c9995	-6
c10029	-16
c10058	-6
c10059	-6
c10087	-1
c10088	-1
c10106	-3
c10116	-6
c10132	-10
c10179	-6
c10189	-5
c10225	-2
c10241	-10
c10246	-1
c10248	-5
c10258	-3
c10297	-10
c10322	-10
c10339	-3
c10358	-16
c10362	-1
c10382	-3
c10392	-1
c10402	-3
c10411	-6
c10418	-6
c10435	-5
c10438	-10
c10439	-10
c10512	-10
c10522	-5
c10525	-1
c10526	-5
c10539	-3
c10568	-6
c10606	-1
c10642	-5
c10645	-16
c10658	-2
c10694	-16
c10695	-16
c10732	-5
c10741	-5
c10743	-14
c10761	-16
c10764	-14
c10797	-10
c10834	-10
c10837	-1
c10845	-10
c10851	-6
c10852	-5
c10871	-6
c10876	-16
c10913	-10
c10932	-10
c10950	-10
c10965	-5
c10985	-16
c10995	-1
c10998	-6
c11014	-6
c11020	-6
c11036	-1
c11037	-1
c11043	-2
c11057	-5
c11095	-6
c11096	-10
c11147	-14
c11156	-16
c11259	-10
c11275	-10
c11281	-14
c11297	-5
c11300	-14
c11316	-5
c11317	-5
c11341	-14
c11345	-10
c11348	-16
c11349	-16
c11377	-5
c11398	-3
c11404	-14
c11405	-14
c11416	-1
c11422	-5
c11423	-5
c11425	-2
c11431	-2
c11435	-14
c11494	-3
c11500	-16
c11532	-16
c11596	-1
c11600	-1
c11640	-14
c11644	-3
c11675	-3
c11678	-2
c11680	-5
c11691	-5
c11711	-2
c11719	-2
c11761	-14
c11770	-1
c11797	-10
c11805	-2
c11810	-5
c11843	-16
c11848	-16
c11849	-16
c11862	-2
c11897	-3
c11952	-16
c11956	-1
c11961	-2
c11999	-1
c12007	-14
c12081	-16
c12087	-6
c12110	-16
c12144	-14
c12159	-5
c12170	-6
c12200	-1
c12206	-1
c12210	-16
c12217	-2
c12244	-10
c12249	-10
c12250	-1
c12297	-5
c12299	-16
c12305	-5
c12312	-2
c12326	-14
c12337	-14
c12375	-10
c12381	-3
c12383	-5
c12387	-1
c12405	-1
c12443	-16
c12454	-1
c12465	-1
c12469	-10
c12473	-1
c12496	-14
c12497	-14
c12507	-14
c12511	-3
c12514	-10
c12540	-2
c12543	-5
c12552	-6
c12558	-16
c12581	-14
c12590	-10
c12591	-10
c12598	-1
c12626	-2
c12655	-16
c12685	-14
c12705	-16
c12724	-2
c12782	-14
c12791	-3
c12824	-10
c12825	-10
c12841	-6
c12843	-6
c12864	-16
c12874	-6
c12905	-16
c12918	-16
c12919	-16
