	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
c1433	0	0	0	0	0	0	38	29	0	0	-1	19	0	0	-1	33	-1	33	0	0	0	1	48	8	31	22	0	0	0	33
c1520	0	0	-1	0	-1	15	0	0	21	27	14	-1	-1	0	31	-1	-1	0	-1	0	-1	0	-1	0	-1	-1	-1	0	0	-1
c1798	0	33	-1	0	-1	0	0	0	0	32	-1	-1	29	48	8	15	0	0	-1	0	-1	3	0	7	0	33	-1	0	33	0
c1942	-1	34	-1	0	0	0	-1	-1	0	0	-1	-1	0	-1	0	-1	-1	33	35	13	-1	0	0	32	31	2	0	-1	-1	33
c2641	0	-1	-1	0	0	0	-1	0	-1	0	26	0	48	0	21	-1	-1	29	46	0	0	-1	47	0	21	0	-1	0	0	0
c2755	-1	0	43	0	-1	0	0	-1	0	0	0	23	0	0	0	23	-1	33	35	0	0	0	-1	32	31	2	-1	0	-1	33
c2766	32	33	-1	41	7	0	0	0	-1	-1	0	-1	48	31	5	47	12	0	0	0	48	0	47	20	13	43	0	-1	0	19
c2837	-1	0	43	0	0	43	0	-1	0	0	0	0	0	0	0	0	-1	33	35	-1	15	0	0	32	31	2	0	-1	-1	-1
c2856	26	0	0	0	0	-1	38	22	-1	-1	-1	-1	-1	3	0	33	-1	33	0	33	0	0	0	48	31	0	-1	-1	0	-1
c3012	-1	0	-1	0	0	-1	0	0	0	0	46	18	-1	0	0	0	0	36	14	14	0	-1	1	0	0	-1	14	-1	47	0
c3113	0	0	-1	0	0	-1	-1	0	0	0	0	22	48	0	18	0	-1	15	0	8	0	0	47	0	0	0	13	0	0	-1
c3126	-1	0	-1	-1	-1	0	0	48	0	21	0	-1	-1	-1	-1	39	-1	-1	0	0	-1	0	47	15	0	0	18	-1	0	0
c3546	0	0	-1	9	20	0	-1	48	0	-1	0	22	48	0	0	0	47	26	0	44	0	0	-1	-1	-1	0	0	-1	0	-1
c3550	0	0	-1	0	-1	-1	0	0	0	33	0	22	48	30	0	-1	47	-1	-1	21	-1	11	47	-1	43	-1	13	0	-1	0
c3551	0	0	-1	0	-1	-1	-1	-1	0	-1	0	22	48	30	0	-1	47	-1	-1	0	-1	11	-1	14	43	11	-1	0	0	-1
c3804	0	-1	49	22	0	0	38	29	0	-1	-1	0	0	-1	44	33	0	-1	0	0	-1	-1	5	0	31	0	-1	-1	-1	33
c4031	0	-1	-1	-1	0	0	-1	0	0	0	0	0	48	0	-1	-1	0	-1	14	0	0	0	-1	0	0	-1	0	35	0	-1
c4170	0	0	43	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	33	35	13	15	0	0	32	31	2	0	0	0	-1
c4377	0	-1	-1	-1	0	0	0	0	-1	0	-1	22	48	0	14	0	47	0	0	0	-1	-1	47	-1	44	13	13	0	-1	-1
c4493	-1	22	-1	0	-1	0	38	22	-1	0	-1	0	-1	22	19	33	0	33	36	0	0	0	0	0	31	30	0	0	0	33
c4866	0	0	-1	0	0	-1	0	-1	0	-1	-1	22	48	-1	0	-1	47	-1	-1	0	-1	11	47	14	43	-1	13	0	0	0
c4933	-1	0	33	0	0	-1	0	0	0	-1	0	22	-1	48	0	-1	0	0	39	0	33	3	-1	0	-1	48	-1	0	0	0
c5041	0	0	-1	0	0	47	0	-1	0	13	0	0	22	48	14	-1	0	-1	33	0	33	30	0	14	-1	0	8	-1	0	-1
c5047	0	16	-1	0	-1	0	-1	0	0	0	0	22	29	-1	0	33	0	0	0	0	33	3	-1	47	0	0	8	39	0	0
c5285	0	0	-1	0	0	0	-1	0	48	0	0	0	48	0	0	-1	-1	45	0	0	0	-1	47	0	0	0	22	0	-1	-1
c5288	0	0	43	0	0	0	0	-1	0	0	0	0	0	0	0	-1	4	33	-1	0	0	34	0	-1	-1	-1	0	-1	0	33
c5311	35	14	0	0	0	0	-1	0	0	11	0	23	33	0	8	0	0	33	35	26	0	0	0	0	31	-1	0	12	0	-1
c5363	-1	-1	43	-1	0	0	0	0	0	-1	0	0	0	0	0	22	0	33	35	0	0	-1	8	32	31	2	0	0	-1	33
c5412	0	0	-1	0	43	-1	41	18	38	-1	0	22	48	0	12	0	47	0	-1	0	0	0	47	-1	0	-1	-1	26	-1	0
c5425	11	-1	-1	-1	-1	-1	35	-1	-1	43	0	0	48	-1	0	-1	-1	0	0	19	14	-1	47	20	33	0	-1	0	35	0
c5437	0	0	-1	0	0	23	0	48	0	-1	0	-1	48	34	0	0	47	26	0	0	22	0	47	0	0	0	0	14	-1	0
c5448	0	0	-1	-1	0	0	38	22	0	0	-1	0	0	0	0	33	4	33	0	0	0	0	0	0	-1	0	0	0	-1	33
c5504	-1	13	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	4	33	-1	0	33	7	0	32	31	2	0	42	0	33
c5616	41	0	-1	0	0	-1	38	22	-1	-1	-1	0	8	22	38	33	0	33	36	26	0	0	0	-1	31	30	-1	0	9	33
c5819	0	0	-1	0	36	0	0	7	33	-1	0	-1	48	0	0	35	47	15	0	0	0	0	-1	0	0	0	-1	0	0	-1
c5831	38	0	-1	7	-1	-1	0	9	-1	-1	0	-1	48	0	-1	8	0	0	0	-1	0	0	47	14	0	-1	-1	0	0	0
c5987	0	0	-1	0	0	0	0	0	-1	0	-1	22	48	30	-1	-1	47	-1	39	8	0	-1	47	39	0	0	13	-1	0	45
c6065	0	-1	-1	0	0	0	0	0	-1	0	0	0	48	0	0	-1	0	45	0	0	0	-1	47	0	0	0	-1	3	-1	0
c6080	0	-1	0	0	0	47	0	-1	21	13	18	-1	22	48	0	0	-1	23	-1	0	-1	9	-1	0	0	0	8	-1	-1	-1
c6104	0	0	-1	-1	0	43	0	0	0	0	0	0	48	0	0	-1	26	36	14	0	14	0	-1	0	0	0	0	-1	35	0
c6109	8	20	41	0	-1	39	38	29	-1	-1	-1	29	0	-1	0	33	0	33	43	0	-1	-1	0	0	31	-1	0	0	0	33
c6148	-1	0	-1	-1	0	0	0	0	-1	0	0	0	-1	48	0	-1	-1	0	0	44	17	-1	-1	0	0	0	0	0	-1	0
c6211	0	-1	0	-1	22	0	38	-1	0	0	-1	21	0	-1	0	-1	-1	33	0	-1	-1	26	0	0	31	0	-1	0	-1	33
c6215	18	0	-1	0	-1	-1	0	0	7	0	0	0	48	-1	0	0	0	0	0	0	0	0	47	-1	0	0	0	10	0	0
c6217	-1	0	0	0	-1	-1	-1	47	0	13	0	-1	22	48	-1	0	8	23	0	0	33	9	21	0	0	0	-1	0	39	0
c6295	-1	0	-1	-1	-1	0	0	0	0	-1	16	22	29	48	-1	0	0	0	0	0	33	-1	0	0	33	0	8	1	0	26
c6445	0	0	-1	-1	0	0	38	22	0	0	-1	0	33	0	0	-1	0	33	9	0	-1	-1	0	0	31	0	-1	0	0	33
c6472	-1	-1	0	-1	-1	0	0	0	0	0	-1	0	0	0	0	35	0	33	-1	0	0	0	22	32	31	0	0	17	0	33
c6485	0	0	-1	47	-1	0	0	-1	0	0	0	0	0	0	22	22	0	33	35	0	0	0	0	-1	31	-1	0	0	0	33
c6579	49	0	-1	0	0	0	-1	0	0	0	0	0	48	0	0	33	0	-1	14	32	0	0	0	-1	14	0	0	35	0	0
c6605	0	0	-1	13	0	0	33	0	-1	14	-1	0	48	18	0	41	0	0	-1	19	0	30	47	-1	33	0	0	39	0	0
c6611	-1	-1	-1	-1	0	26	0	-1	0	0	47	32	0	0	0	11	0	33	35	-1	0	0	22	32	-1	-1	0	20	-1	33
c6631	0	-1	-1	0	0	-1	0	0	0	45	0	13	48	0	-1	0	-1	36	14	-1	0	0	1	0	0	0	-1	35	47	0
c6739	-1	18	0	-1	-1	0	38	29	0	11	-1	46	15	0	0	33	0	-1	-1	0	0	-1	0	0	31	0	0	14	0	33
c6745	-1	47	-1	0	0	44	0	0	0	28	0	0	48	22	0	39	0	-1	0	13	-1	33	47	0	-1	16	0	-1	-1	-1
c6923	0	0	-1	0	0	-1	41	-1	0	43	0	22	48	0	0	0	47	14	19	33	0	0	47	0	20	0	-1	0	0	-1
c6977	0	0	-1	-1	0	0	-1	33	0	0	0	22	48	33	0	0	47	-1	0	8	0	47	-1	39	-1	13	13	0	0	0
c6986	32	33	-1	41	0	0	0	0	-1	0	0	0	-1	31	-1	47	-1	0	0	0	48	0	47	20	-1	0	0	-1	0	19
c6993	-1	30	0	0	39	0	0	22	0	0	-1	0	33	0	0	0	0	33	35	26	0	0	-1	0	-1	-1	0	12	-1	-1
c7016	0	33	0	7	-1	0	-1	0	0	0	-1	22	29	48	0	33	0	0	-1	0	33	3	-1	0	13	-1	8	0	0	9
c7024	-1	0	23	-1	46	-1	11	0	-1	44	0	22	29	48	0	33	-1	0	0	0	33	3	0	48	0	0	8	-1	39	0
c7052	-1	0	-1	0	32	0	0	-1	33	0	12	0	-1	0	0	0	0	0	41	0	-1	11	-1	33	-1	0	-1	21	-1	20
c7054	0	47	-1	38	32	0	0	0	-1	0	0	0	48	0	-1	0	0	-1	-1	0	33	11	47	0	41	0	-1	33	0	20
c7061	0	0	0	48	14	0	-1	22	41	-1	-1	47	0	11	-1	33	-1	33	0	0	0	-1	0	0	31	-1	0	33	-1	-1
c7089	0	41	-1	-1	0	0	38	22	-1	33	-1	14	0	0	35	33	-1	33	0	0	0	14	0	-1	31	0	0	11	0	33
c7119	35	0	0	-1	0	0	-1	47	0	0	0	0	-1	0	13	-1	-1	33	-1	26	0	0	0	14	31	0	0	12	0	33
c7133	0	0	0	0	0	0	0	0	38	0	0	22	29	48	44	33	0	0	-1	0	33	3	-1	0	-1	0	-1	0	-1	-1
c7204	11	0	-1	10	0	0	0	0	0	20	0	0	48	0	0	0	0	36	14	0	0	-1	-1	-1	0	-1	14	-1	0	0
c7235	0	0	43	-1	0	0	0	-1	33	0	-1	0	0	0	0	0	-1	33	35	-1	0	0	0	-1	31	-1	13	0	0	-1
c7275	-1	-1	-1	43	32	0	0	0	18	0	0	0	-1	-1	-1	-1	0	0	0	0	0	0	47	0	0	-1	-1	14	0	19
c7280	43	-1	-1	0	32	0	-1	33	7	0	-1	0	48	-1	0	0	-1	44	0	0	0	11	47	0	0	0	-1	0	0	20
c7324	0	0	-1	0	10	-1	-1	-1	21	-1	30	0	48	18	0	0	-1	0	0	0	48	9	47	0	0	-1	0	0	0	0
c7357	-1	0	26	0	-1	0	0	-1	16	0	0	47	0	0	0	0	0	-1	35	-1	0	0	-1	0	31	39	38	0	0	33
c7454	35	-1	-1	-1	0	0	33	-1	9	0	0	-1	-1	-1	-1	24	-1	33	-1	-1	-1	0	32	-1	31	-1	0	0	0	33
c7479	0	-1	-1	0	-1	0	0	48	26	21	0	-1	48	0	0	0	47	-1	-1	0	-1	0	47	18	0	0	0	0	0	41
c7565	0	0	0	0	0	33	0	0	-1	0	0	-1	29	48	-1	33	0	0	0	0	33	3	0	0	0	0	8	0	0	48
c7627	0	39	-1	0	32	0	0	-1	-1	44	0	5	48	0	0	0	-1	0	0	-1	-1	-1	-1	0	0	0	-1	-1	35	0
c7703	0	0	0	-1	0	-1	38	1	0	20	-1	-1	0	0	0	33	0	33	0	0	-1	-1	-1	0	31	-1	22	0	0	33
c7738	0	0	-1	32	-1	-1	0	26	0	0	12	0	-1	0	0	0	0	-1	41	0	0	-1	-1	33	0	0	-1	21	0	20
c7740	0	-1	0	-1	-1	0	-1	22	0	-1	-1	0	0	0	-1	33	0	33	0	0	-1	0	46	-1	31	-1	-1	-1	0	-1
c7810	8	0	0	-1	0	-1	38	29	0	41	-1	0	0	-1	0	33	29	33	0	-1	41	0	0	0	31	14	0	0	-1	33
c7813	18	0	-1	0	0	0	0	0	7	0	0	0	48	-1	0	-1	26	0	0	-1	0	-1	47	0	0	0	0	0	0	0
c7820	0	0	-1	-1	0	0	0	0	0	0	-1	22	48	-1	0	-1	-1	0	-1	0	0	-1	-1	11	0	0	-1	0	0	0
c7870	0	0	-1	47	-1	0	0	0	-1	22	0	-1	48	18	-1	0	0	49	0	19	17	0	-1	0	33	-1	0	29	0	0
c7898	0	0	-1	0	21	0	33	0	-1	-1	-1	0	48	-1	0	46	39	36	14	-1	0	0	0	0	-1	-1	47	35	0	0
c7917	-1	13	37	0	0	-1	0	-1	0	-1	0	-1	0	-1	-1	24	0	33	35	-1	21	0	32	0	31	39	0	0	13	33
c8012	0	-1	-1	-1	-1	0	0	48	0	0	0	22	48	-1	0	-1	47	26	21	-1	0	0	47	0	-1	0	0	-1	0	0
c8042	33	0	0	0	0	0	-1	0	-1	0	-1	-1	29	48	46	33	0	-1	0	0	33	-1	24	-1	0	48	8	0	0	48
c8058	0	-1	-1	-1	0	-1	-1	-1	0	0	2	0	48	18	0	-1	-1	-1	0	19	0	0	47	-1	33	0	8	-1	0	0
c8090	0	20	43	-1	0	0	0	-1	0	-1	0	0	0	18	0	0	4	33	35	0	-1	0	0	-1	31	2	0	-1	0	33
c8154	0	0	-1	-1	0	0	-1	-1	-1	27	-1	38	-1	0	-1	0	0	-1	0	0	-1	-1	33	0	0	0	0	0	0	-1
c8166	0	0	-1	41	0	0	31	9	-1	-1	0	-1	-1	0	0	8	0	0	-1	-1	31	15	-1	12	10	0	0	-1	0	33
c8169	0	-1	-1	0	0	0	0	0	0	0	-1	22	-1	-1	-1	-1	47	-1	0	8	-1	11	-1	0	-1	11	-1	-1	-1	0
c8181	0	0	0	22	0	-1	38	29	0	0	-1	0	0	10	-1	33	0	-1	0	0	-1	1	0	39	31	0	0	-1	13	-1
c8197	0	0	-1	0	0	0	-1	0	0	0	11	0	48	18	0	33	-1	0	0	19	0	42	47	-1	-1	-1	0	0	0	-1
c8206	0	0	-1	0	0	0	46	0	0	0	0	0	-1	-1	0	0	0	-1	0	0	22	0	47	-1	48	0	1	13	0	19
c8271	0	-1	-1	0	0	0	0	0	-1	0	32	22	29	48	0	33	-1	0	0	0	33	-1	0	0	0	0	8	33	7	0
c8274	31	0	-1	0	-1	-1	4	0	0	13	0	-1	22	48	0	-1	0	0	33	0	33	0	11	14	-1	-1	8	26	-1	0
c8315	20	0	43	0	0	0	0	-1	0	0	0	0	13	0	0	0	0	33	35	0	20	0	0	32	31	-1	0	0	-1	33
c8341	0	0	0	0	-1	0	0	48	0	0	0	22	29	48	0	33	33	47	0	0	33	3	0	-1	0	48	8	0	-1	0
c8351	0	0	-1	0	0	-1	0	48	43	0	11	-1	48	0	0	-1	47	26	0	-1	-1	0	47	0	0	7	0	-1	0	0
c8403	20	0	43	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	33	35	0	0	0	0	-1	31	2	0	0	0	33
c8408	20	0	43	0	0	-1	-1	-1	0	19	13	0	0	-1	0	-1	0	-1	35	15	0	0	0	32	31	2	-1	0	0	-1
c8423	43	0	-1	0	1	33	0	0	-1	0	0	22	48	0	0	0	47	0	0	0	0	47	47	0	44	13	13	0	0	0
c8446	35	-1	-1	21	0	21	0	33	48	0	32	0	48	0	0	-1	-1	0	0	0	0	-1	47	20	0	0	-1	-1	0	21
c8455	0	0	-1	32	-1	0	41	0	29	-1	0	-1	48	39	0	14	47	39	0	43	0	0	47	31	33	-1	41	-1	0	0
c8489	0	0	43	0	30	0	0	-1	0	0	0	36	0	48	0	22	0	-1	-1	0	-1	-1	0	32	31	2	0	0	-1	33
c8528	0	0	0	0	0	0	-1	1	0	0	-1	-1	0	0	0	33	0	33	0	0	0	0	-1	0	31	0	22	0	0	33
c8548	0	-1	-1	0	0	-1	0	0	0	33	0	22	48	30	0	-1	47	-1	-1	-1	-1	-1	47	14	-1	0	13	-1	-1	0
c8557	0	0	0	-1	0	47	0	47	-1	13	18	13	-1	48	-1	0	0	23	41	0	33	9	18	0	0	0	-1	0	0	0
c8561	-1	0	0	0	0	0	38	0	0	0	-1	44	-1	0	-1	-1	0	33	5	0	41	48	-1	0	31	0	14	11	-1	33
c8572	-1	13	43	-1	0	0	0	-1	0	0	33	-1	-1	0	0	0	-1	33	-1	-1	33	0	0	32	31	2	0	0	0	33
c8575	-1	0	-1	1	0	33	41	0	0	0	-1	-1	48	16	0	-1	-1	0	-1	0	-1	33	47	-1	15	-1	0	22	29	0
c8576	15	-1	0	32	0	0	38	0	0	-1	-1	32	21	0	-1	33	0	33	0	0	22	0	0	0	31	0	29	11	0	33
c8584	0	0	-1	0	0	0	48	-1	48	39	0	0	-1	0	0	-1	0	45	0	0	33	-1	47	47	0	-1	22	-1	0	-1
c8626	17	0	0	0	0	0	-1	0	0	-1	0	22	29	48	0	-1	-1	0	-1	0	33	3	0	0	0	0	-1	-1	0	0
c8628	0	-1	-1	14	-1	0	-1	38	-1	0	0	18	48	0	0	0	-1	36	14	-1	0	42	0	0	0	0	-1	-1	-1	15
c8688	0	16	-1	0	21	-1	33	0	0	30	48	0	48	-1	0	0	0	36	-1	48	0	0	0	0	0	-1	0	35	0	0
c8720	0	0	-1	-1	0	0	-1	48	0	46	0	22	48	0	-1	-1	47	26	0	0	0	33	47	-1	0	0	0	0	0	-1
c8723	-1	-1	-1	0	0	0	-1	-1	0	0	0	-1	20	0	-1	-1	0	-1	35	-1	0	0	32	0	31	0	-1	-1	0	-1
c8736	45	0	-1	0	-1	-1	15	33	33	-1	0	22	-1	0	0	35	47	15	14	0	0	0	47	0	0	0	-1	-1	0	0
c8738	48	0	0	0	0	-1	0	0	-1	0	0	22	29	48	44	33	0	0	-1	0	33	-1	0	0	0	-1	8	-1	0	0
c8749	48	0	0	22	0	-1	-1	29	-1	0	-1	0	0	0	14	33	0	-1	0	15	-1	0	0	23	31	0	0	0	0	-1
c8772	-1	-1	43	-1	-1	0	0	-1	-1	0	0	1	0	0	0	0	4	33	35	0	33	0	0	32	31	2	0	-1	0	-1
c8802	0	8	-1	0	0	0	41	0	29	44	0	22	48	-1	38	26	47	39	7	43	0	0	47	0	0	-1	41	0	0	0
c8808	0	0	-1	-1	36	0	-1	0	0	-1	0	0	48	18	0	41	7	-1	0	-1	45	30	47	-1	33	19	-1	0	-1	0
c8841	43	-1	-1	0	1	-1	0	-1	0	-1	-1	22	-1	-1	-1	-1	47	21	-1	0	0	-1	47	32	-1	13	13	0	0	-1
c8846	8	0	-1	1	0	33	-1	0	-1	0	0	22	48	16	0	-1	47	0	-1	48	0	33	-1	-1	-1	0	0	22	29	0
c8879	0	0	-1	-1	0	0	-1	0	0	0	0	22	48	0	0	21	47	-1	0	-1	0	0	-1	32	0	0	13	0	0	8
c8889	0	-1	-1	0	32	48	-1	8	0	44	0	5	48	0	21	0	0	0	0	0	0	0	-1	0	-1	22	-1	5	35	0
c8924	0	0	43	0	-1	0	-1	30	-1	-1	-1	-1	0	12	0	0	0	33	35	0	-1	0	-1	32	31	-1	0	0	0	33
c9014	0	0	-1	8	0	0	-1	14	0	0	0	22	48	-1	26	38	47	0	47	26	0	-1	47	-1	0	0	13	-1	-1	5
c9036	0	-1	-1	14	0	-1	-1	38	-1	0	0	0	-1	0	0	-1	26	36	14	0	-1	33	0	0	-1	0	0	-1	-1	0
c9043	18	0	-1	0	0	0	0	0	7	0	0	0	48	-1	0	44	38	0	0	-1	-1	-1	47	0	0	0	0	0	0	0
c9068	-1	-1	0	0	0	0	38	29	0	0	-1	-1	0	0	0	33	0	33	0	0	0	-1	0	0	31	-1	0	0	0	33
c9212	-1	0	-1	0	32	0	-1	0	0	-1	0	0	-1	0	-1	0	0	33	35	26	1	0	0	0	31	11	0	-1	-1	33
c9221	-1	0	-1	0	-1	0	0	0	0	0	48	0	-1	47	0	0	0	20	0	0	0	20	47	0	22	8	12	-1	0	0
c9293	0	0	-1	0	0	0	-1	0	0	0	0	-1	-1	0	-1	36	47	-1	0	0	-1	0	47	-1	0	0	0	0	0	0
c9322	0	0	-1	-1	13	-1	0	-1	7	-1	0	5	-1	-1	0	0	0	0	0	0	0	0	47	0	0	0	10	8	11	0
c9324	-1	0	43	-1	0	-1	-1	-1	0	47	0	36	-1	0	0	-1	0	33	35	-1	-1	0	8	32	31	2	-1	0	0	33
c9376	-1	11	36	0	0	0	33	0	0	0	0	0	33	33	0	26	-1	33	35	26	-1	0	0	0	31	0	0	12	0	33
c9379	-1	33	-1	-1	0	-1	-1	0	-1	-1	0	33	48	0	-1	-1	12	41	0	0	48	31	47	20	0	0	20	0	0	19
c9409	0	0	43	0	0	0	0	-1	-1	0	13	-1	0	12	0	45	0	33	35	0	0	-1	0	32	31	2	0	22	0	33
c9410	0	0	0	0	0	-1	-1	0	0	0	0	22	29	48	0	33	0	0	0	-1	33	3	-1	0	0	0	8	0	0	-1
c9437	0	0	0	22	0	0	38	29	0	0	-1	0	-1	-1	0	33	11	33	0	0	-1	0	0	0	31	0	48	-1	0	-1
c9485	0	39	-1	-1	32	-1	0	8	14	-1	0	5	48	0	0	0	0	0	0	0	-1	0	47	0	0	22	-1	5	35	0
c9505	-1	0	-1	0	-1	-1	-1	0	0	0	0	22	-1	0	0	0	47	22	0	-1	-1	0	47	18	0	0	-1	-1	0	13
c9513	0	0	-1	-1	21	0	33	49	-1	0	0	0	48	0	0	0	-1	36	14	22	0	33	0	47	11	39	0	35	0	42
c9515	43	-1	-1	0	1	0	-1	0	0	0	0	22	48	0	0	0	47	-1	-1	0	-1	47	47	0	44	-1	13	0	0	0
c9532	0	0	-1	0	32	0	22	0	-1	0	0	35	48	0	-1	0	0	0	41	0	-1	11	-1	33	0	0	-1	21	0	20
c9545	0	0	-1	0	0	-1	0	0	0	-1	0	22	-1	-1	0	-1	47	-1	-1	0	-1	-1	-1	14	-1	-1	13	0	-1	0
c9567	46	-1	-1	0	-1	0	0	0	0	21	30	-1	48	0	0	0	-1	10	0	-1	48	0	47	0	14	-1	0	11	0	0
c9581	-1	0	0	0	-1	29	-1	0	0	32	-1	22	29	48	0	8	0	0	0	0	33	3	0	-1	0	-1	8	49	-1	0
c9603	0	21	-1	7	-1	-1	0	9	22	0	0	-1	48	23	33	8	0	0	-1	30	0	-1	47	0	0	0	0	-1	-1	0
c9627	0	44	0	-1	-1	0	38	22	33	0	-1	0	0	0	47	33	0	33	-1	0	-1	0	-1	0	31	0	20	-1	0	-1
c9661	0	-1	43	0	0	0	0	0	0	35	0	0	-1	0	-1	0	0	33	35	0	0	-1	8	32	31	-1	46	0	0	33
c9675	-1	0	-1	0	0	47	0	17	0	13	-1	26	22	48	0	-1	0	0	33	39	33	-1	0	-1	0	-1	8	-1	30	0
c9687	0	39	-1	0	0	0	-1	0	-1	0	0	-1	48	13	-1	0	47	15	13	0	-1	0	47	0	-1	39	13	-1	0	0
c9721	8	0	-1	14	0	-1	-1	0	0	22	0	22	48	0	18	48	47	15	20	-1	-1	0	47	-1	0	0	-1	-1	0	0
c9724	0	0	43	-1	0	0	12	-1	0	0	44	0	0	0	0	-1	0	33	35	-1	15	-1	0	-1	31	2	0	-1	0	-1
c9759	35	0	0	0	-1	-1	33	-1	-1	-1	0	-1	0	0	0	24	0	33	35	-1	21	-1	32	0	-1	39	0	-1	-1	33
c9807	0	-1	-1	0	20	3	38	-1	0	0	-1	-1	20	-1	35	33	-1	33	0	0	-1	0	19	0	-1	0	0	20	0	33
c9812	0	0	43	0	0	0	0	-1	8	0	13	-1	0	12	0	45	-1	33	35	-1	0	0	0	-1	31	2	0	22	14	33
c9822	0	0	0	7	0	0	0	0	0	-1	-1	22	29	-1	0	33	0	0	0	0	33	3	-1	0	0	-1	8	0	0	0
c9837	-1	-1	0	0	-1	0	38	0	4	0	-1	-1	0	0	0	33	0	33	0	0	-1	0	0	0	31	0	0	0	0	33
c9841	48	33	0	22	22	0	38	29	14	0	-1	0	47	0	14	33	0	33	0	0	-1	-1	0	0	31	0	0	-1	0	33
c9850	-1	-1	-1	-1	0	-1	38	22	-1	0	-1	43	0	0	4	-1	0	-1	0	0	0	0	0	24	31	0	0	49	48	33
c9862	20	0	-1	2	0	-1	38	0	-1	0	48	0	-1	0	0	0	-1	0	0	0	0	20	47	0	-1	-1	12	47	0	-1
c9976	0	0	-1	7	0	0	0	9	0	0	-1	-1	48	0	0	8	0	35	0	30	0	43	-1	-1	43	0	0	39	0	0
c9982	0	20	43	-1	-1	0	0	-1	0	-1	0	-1	0	18	0	-1	4	33	35	0	12	0	20	-1	31	2	-1	-1	-1	33
c10004	0	0	43	0	0	0	0	-1	0	0	-1	-1	0	0	0	0	4	33	35	0	-1	0	0	32	31	2	0	0	0	-1
