cellBC	cell_state
c2094	-4
c2459	-9
c3028	-12
c3248	-12
c3333	-6
c3521	-9
c3656	-2
c3783	-5
c4197	-12
c4547	-13
c4564	-12
c4579	-7
c4867	-10
c5042	-7
c5051	-4
c5167	-4
c5462	-15
c5537	-12
c5539	-11
c5937	-8
c6331	-3
c6342	-8
c6408	-3
c6479	-8
c6570	-5
c6745	-9
c6799	-7
c6965	-9
c7009	-1
c7020	-4
c7036	-10
c7289	-2
c7350	-3
c7417	-10
c7671	-7
c7754	-4
c7783	-10
c7788	-12
c7829	-11
c7837	-1
c7889	-12
c7893	-3
c7956	-7
c8005	-2
c8009	-3
c8167	-12
c8202	-7
c8277	-3
c8279	-7
c8297	-5
c8322	-4
c8374	-5
c8423	-4
c8488	-7
c8513	-7
c8538	-4
c8585	-10
c8692	-9
c8695	-5
c8730	-12
c8755	-4
c9022	-4
c9112	-5
c9165	-3
c9209	-6
c9264	-6
c9282	-10
c9321	-12
c9433	-15
c9486	-9
c9501	-10
c9679	-11
c9725	-10
c9741	-6
c10079	-8
c10105	-4
c10126	-6
c10135	-10
c10257	-11
c10341	-6
c10384	-7
c10437	-10
c10492	-7
c10502	-3
c10515	-10
c10539	-15
c10599	-9
c10625	-15
c10693	-10
c10745	-4
c10755	-8
c10768	-8
c10890	-8
c10902	-12
c11092	-12
c11100	-13
c11152	-11
c11210	-5
c11244	-6
c11320	-2
c11427	-12
c11454	-7
c11460	-11
c11503	-9
c11518	-12
c11519	-12
c11538	-9
c11569	-2
c11574	-2
c11674	-10
c11681	-1
c11694	-10
c11711	-10
c11727	-3
c11787	-10
c11811	-9
c11842	-7
c11852	-1
c11880	-12
c11895	-8
c11911	-4
c11920	-9
c11921	-9
c11928	-8
c11968	-10
c12011	-10
c12013	-8
c12054	-7
c12109	-10
c12124	-9
c12127	-10
c12194	-1
c12209	-10
c12259	-12
c12274	-15
c12289	-12
c12308	-13
c12368	-7
c12437	-12
c12466	-12
c12491	-5
c12497	-12
c12499	-1
c12619	-13
c12644	-10
c12648	-2
c12649	-2
c12678	-13
c12746	-10
c12777	-5
c12799	-6
c12832	-9
c12842	-7
c12852	-5
c12875	-4
c12902	-8
c12906	-4
c12949	-1
c12950	-12
c12951	-12
c12989	-6
c12999	-5
c13044	-2
c13106	-10
c13119	-8
c13128	-9
c13141	-9
c13331	-7
c13343	-1
c13347	-2
c13352	-15
c13353	-15
c13423	-3
c13449	-11
c13451	-15
c13556	-10
c13576	-10
c13654	-1
c13697	-3
c13704	-13
c13728	-12
c13730	-6
c13746	-9
c13747	-9
c13789	-9
c13860	-12
c13863	-3
c13869	-2
c13874	-11
c13912	-10
c13921	-6
c13950	-5
c13953	-15
c13958	-13
c14070	-12
c14096	-1
c14111	-10
c14140	-2
c14150	-1
c14167	-2
c14176	-1
c14194	-3
c14273	-11
c14298	-6
c14349	-10
c14400	-9
c14402	-9
c14418	-3
c14437	-10
c14465	-12
c14500	-13
c14534	-12
c14577	-10
c14599	-1
c14629	-12
c14652	-3
c14682	-3
c14729	-11
c14748	-11
c14752	-3
c14781	-4
c14792	-7
c14899	-15
c14913	-7
c14920	-1
c14921	-1
c15014	-2
c15046	-3
c15088	-12
c15089	-12
c15129	-10
c15233	-1
c15239	-2
c15315	-2
c15326	-4
c15334	-9
c15346	-15
c15357	-9
c15371	-12
c15401	-10
c15446	-11
c15473	-4
c15490	-6
c15491	-6
c15494	-9
c15524	-8
c15530	-11
c15561	-12
c15571	-7
c15586	-9
c15597	-12
c15628	-15
c15629	-15
c15631	-3
c15636	-10
c15639	-4
c15686	-1
c15697	-8
c15710	-8
c15711	-8
c15741	-6
c15742	-10
c15747	-12
c15821	-13
c15852	-12
c15944	-13
c15986	-8
c15987	-8
c16009	-10
c16020	-4
c16067	-3
c16094	-11
c16114	-7
c16124	-5
c16165	-11
c16181	-5
c16238	-9
c16239	-9
c16274	-6
c16296	-12
c16306	-5
c16418	-9
c16422	-6
c16426	-11
c16443	-8
c16455	-1
c16468	-12
c16471	-10
c16503	-5
c16508	-2
c16509	-1
c16511	-2
c16512	-13
c16540	-2
c16545	-10
c16546	-1
c16567	-7
c16571	-11
c16592	-4
c16608	-3
c16614	-12
c16675	-1
c16686	-13
c16704	-10
c16717	-15
c16721	-10
c16742	-9
