	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
c576	23	0	23	0	-1	-1	36	0	-1	0	0	0	0	22	-1	-1	24	35	0	20	-1	40	0	0	-1	28	0	0	28	0
c771	0	-1	23	0	-1	-1	0	0	-1	0	0	-1	0	-1	0	0	-1	35	-1	0	0	0	-1	0	-1	28	0	0	28	0
c786	0	-1	-1	0	-1	-1	0	23	-1	35	18	0	0	22	-1	0	24	0	0	30	0	-1	0	29	-1	28	0	42	28	-1
c1006	-1	0	23	-1	-1	45	0	0	0	-1	0	0	20	-1	28	0	24	0	0	0	0	20	0	-1	0	28	-1	0	28	0
c1526	17	0	23	0	0	-1	0	0	0	0	48	-1	0	-1	0	0	0	0	17	-1	24	0	18	0	0	0	0	0	28	0
c1590	0	0	23	-1	0	45	-1	8	-1	0	0	0	-1	22	-1	8	24	-1	21	0	50	0	0	-1	0	28	-1	0	28	0
c1696	0	0	23	-1	0	-1	-1	0	0	0	0	0	0	22	0	-1	24	35	0	-1	0	0	0	0	-1	28	20	0	-1	0
c2029	0	0	23	0	0	-1	-1	0	-1	0	23	-1	0	-1	0	0	-1	35	0	0	0	0	-1	0	-1	-1	0	0	-1	0
c2530	0	29	-1	0	0	0	0	0	0	0	-1	-1	33	-1	0	-1	24	0	0	-1	0	-1	-1	0	-1	28	0	0	28	-1
c2690	0	-1	23	20	0	45	0	0	0	-1	0	0	20	-1	28	47	24	0	0	21	-1	0	-1	-1	-1	28	0	48	28	-1
c2884	0	-1	-1	0	0	0	12	0	0	0	-1	0	0	22	36	17	24	0	48	28	0	-1	0	0	-1	-1	0	0	28	48
c2988	0	0	23	0	43	0	0	0	17	0	0	48	0	-1	0	-1	24	35	0	15	45	20	0	30	-1	28	0	0	28	0
c3050	0	0	23	0	0	0	0	0	45	0	0	-1	0	22	0	0	24	35	0	0	0	0	-1	40	-1	28	0	0	-1	0
c3083	0	0	23	0	-1	-1	8	35	16	0	17	0	0	22	-1	0	24	0	-1	0	0	0	0	0	-1	28	-1	42	28	0
c3096	-1	2	23	-1	0	45	0	23	32	0	-1	0	20	-1	28	0	24	0	0	0	0	20	0	-1	-1	28	0	-1	-1	0
c3234	0	23	23	-1	-1	0	-1	-1	0	0	0	-1	-1	22	0	0	24	0	-1	0	10	48	0	8	-1	28	27	0	28	-1
c3265	0	0	28	18	-1	0	0	0	49	26	15	33	0	0	0	20	0	-1	0	0	0	0	-1	10	0	17	0	0	45	-1
c3320	0	0	23	0	-1	0	0	0	0	24	-1	-1	27	22	0	32	24	35	5	0	0	0	-1	-1	-1	28	6	8	-1	-1
c3347	0	0	23	0	4	0	-1	-1	45	0	0	0	-1	-1	0	25	24	-1	0	22	24	0	0	0	-1	28	0	0	28	20
c3607	0	-1	23	20	0	45	0	-1	-1	0	0	0	20	22	28	0	-1	0	8	0	0	0	0	-1	-1	28	48	23	-1	-1
c3738	0	0	23	8	0	0	-1	48	0	0	15	0	-1	22	0	0	-1	15	0	0	24	-1	0	0	-1	28	0	0	28	30
c3818	0	0	23	0	0	-1	44	0	45	-1	0	-1	0	22	0	0	24	35	-1	10	23	0	0	0	-1	28	-1	-1	28	0
c3945	0	0	-1	0	0	45	25	-1	0	21	0	0	20	-1	28	0	24	0	0	0	0	24	0	-1	0	28	-1	0	28	-1
c4042	17	0	0	0	0	0	0	-1	-1	0	0	0	-1	11	-1	-1	24	-1	0	0	-1	-1	50	-1	0	0	8	0	44	-1
