cellBC	cell_state
c817	-9
c1011	-14
c1396	-8
c2029	-13
c2086	-10
c2183	-12
c2319	-14
c2328	-16
c2352	-12
c2395	-4
c2742	-12
c2808	-5
c2829	-9
c2928	-6
c3053	-5
c3129	-9
c3145	-6
c3357	-13
c3401	-7
c3528	-12
c3614	-5
c3688	-2
c3693	-9
c3712	-1
c3723	-8
c3940	-7
c3947	-5
c4115	-13
c4119	-8
c4377	-11
c4403	-4
c4472	-11
c4645	-16
c4682	-1
c4734	-9
c4839	-2
c4991	-8
c5198	-12
c5204	-2
c5241	-11
c5348	-1
c5429	-1
c5499	-3
c5550	-10
c5641	-6
c5705	-13
c5728	-5
c5730	-1
c5749	-11
c5833	-9
c6012	-2
c6189	-6
c6242	-14
c6270	-12
c6282	-14
c6487	-1
c6636	-11
c6683	-11
c6697	-11
c6780	-15
c6790	-13
c6835	-4
c6839	-10
c6901	-2
c6903	-11
c6933	-5
c6968	-9
c6969	-9
c7030	-12
c7051	-16
c7058	-7
c7099	-11
c7105	-14
c7181	-8
c7235	-1
c7254	-12
c7333	-7
c7375	-6
c7445	-5
c7448	-1
c7461	-16
c7470	-13
c7493	-15
c7517	-11
c7578	-12
c7609	-5
c7657	-12
c7676	-4
c7727	-16
c7769	-2
c7785	-14
c7802	-3
c7811	-14
c7816	-8
c7818	-16
c7862	-16
c7876	-6
c7898	-11
c7926	-13
c7936	-9
c8018	-13
c8038	-15
c8124	-4
c8127	-2
c8139	-5
c8235	-3
c8303	-6
c8318	-8
c8328	-8
c8355	-11
c8385	-11
c8430	-1
c8460	-12
c8482	-1
c8522	-8
c8585	-12
c8632	-15
c8636	-9
c8700	-1
c8705	-8
c8727	-10
c8738	-7
c8772	-11
c8774	-3
c8802	-7
c8853	-8
c8858	-10
c8861	-14
c8888	-3
c8904	-8
c8905	-8
c8957	-6
c8988	-3
c8995	-15
c9084	-12
c9098	-8
c9140	-9
c9193	-9
c9260	-7
c9288	-5
c9338	-1
c9339	-1
c9344	-14
c9359	-12
c9372	-12
c9386	-14
c9400	-5
c9411	-7
c9415	-7
c9429	-1
c9471	-6
c9502	-12
c9529	-6
c9531	-11
c9549	-12
c9556	-15
c9582	-2
c9605	-10
c9616	-6
c9643	-14
c9657	-15
c9660	-6
c9673	-2
c9696	-8
c9707	-4
c9713	-5
c9726	-10
c9736	-2
c9782	-5
c9792	-4
c9793	-4
c9810	-10
c9823	-14
c9884	-12
c9899	-8
c9929	-9
c9945	-3
c9947	-4
c9958	-16
c9989	-11
c10010	-4
c10078	-8
c10128	-16
c10144	-1
c10165	-14
c10166	-15
c10173	-3
c10182	-14
c10198	-12
c10212	-10
c10256	-1
c10257	-1
c10281	-1
c10289	-15
c10329	-16
c10343	-8
c10345	-16
c10352	-9
c10409	-16
c10449	-8
c10459	-16
c10463	-14
c10466	-6
c10476	-4
c10496	-3
c10500	-1
c10501	-1
c10530	-10
c10561	-7
c10698	-11
c10751	-16
c10756	-1
c10757	-1
c10776	-4
c10800	-8
c10805	-12
c10829	-1
c10831	-10
c10850	-7
c10879	-2
c10900	-12
c10902	-5
c10906	-6
c10907	-6
c10915	-13
c10925	-3
c10928	-4
c10929	-4
c10935	-6
c10939	-2
c10942	-12
c10952	-10
c10964	-7
c10965	-7
c11006	-16
c11073	-6
c11092	-10
c11111	-1
c11119	-14
c11130	-7
c11153	-12
c11182	-11
c11188	-15
c11208	-3
c11216	-14
c11248	-7
c11250	-14
c11268	-10
c11294	-1
c11298	-2
c11299	-2
c11309	-16
c11342	-14
c11359	-3
c11386	-14
c11453	-12
c11475	-12
c11480	-14
c11516	-11
c11519	-12
c11541	-5
c11546	-3
c11562	-3
c11569	-8
c11572	-7
c11609	-14
c11618	-6
c11637	-2
c11640	-11
c11643	-8
c11648	-10
c11669	-3
c11679	-10
c11682	-1
c11683	-1
c11685	-13
c11702	-14
c11704	-10
c11708	-13
c11711	-13
c11715	-9
c11720	-3
c11769	-11
c11772	-4
c11773	-4
c11782	-12
c11810	-15
c11831	-8
c11845	-9
c11853	-7
c11864	-15
c11888	-13
c11892	-6
c11922	-7
c11926	-9
c11934	-2
c11946	-7
c11955	-5
c11968	-9
c11969	-9
c11985	-10
c11993	-14
c12019	-3
c12021	-10
c12026	-6
c12031	-15
c12038	-6
c12048	-5
c12058	-5
c12074	-11
c12084	-6
c12108	-13
c12122	-7
c12176	-4
c12202	-3
c12216	-2
c12217	-2
c12262	-13
c12268	-10
c12270	-1
c12271	-1
c12292	-5
c12332	-5
c12352	-8
c12405	-9
c12414	-8
c12436	-4
c12442	-7
c12477	-3
c12489	-4
c12500	-5
c12505	-3
c12526	-5
c12530	-7
c12537	-14
c12590	-13
c12600	-10
c12627	-13
c12643	-16
c12645	-15
c12664	-16
c12665	-16
c12687	-11
c12712	-14
c12726	-2
c12734	-3
c12749	-8
c12754	-14
c12759	-5
c12802	-9
c12803	-9
c12830	-7
c12913	-11
c12928	-7
c12949	-7
c12953	-1
c12975	-16
c13017	-10
c13048	-9
c13049	-9
c13070	-3
c13071	-3
c13075	-12
c13115	-7
c13123	-7
c13131	-12
c13134	-5
c13161	-1
c13163	-8
c13164	-2
c13222	-2
c13231	-11
c13253	-16
c13260	-13
c13278	-14
c13280	-1
c13281	-1
c13284	-10
c13287	-10
c13288	-11
c13345	-12
c13346	-14
c13375	-6
c13382	-8
c13414	-10
c13421	-2
c13424	-9
c13459	-9
c13461	-3
c13492	-9
c13500	-3
c13501	-3
c13553	-8
c13566	-12
c13575	-4
c13578	-8
c13581	-12
c13587	-16
c13591	-2
c13594	-12
c13596	-5
c13619	-13
c13624	-10
c13626	-8
c13628	-13
c13637	-16
c13639	-5
c13641	-13
c13654	-12
c13658	-14
c13660	-12
c13673	-7
c13699	-5
c13731	-13
c13753	-11
c13772	-3
c13774	-4
c13778	-14
c13787	-16
c13790	-14
c13805	-15
c13809	-9
c13859	-4
c13869	-3
c13896	-5
c13897	-5
c13911	-4
c13922	-13
c13930	-12
c13932	-13
c13945	-16
c13969	-3
c13970	-9
c13974	-1
c13986	-4
c13993	-9
c13996	-13
c14030	-2
c14083	-8
c14095	-1
c14104	-2
c14152	-14
c14159	-15
c14162	-11
c14193	-2
c14197	-14
c14232	-2
c14291	-15
c14292	-9
c14297	-14
c14303	-12
c14306	-11
c14321	-3
c14329	-16
c14331	-2
c14332	-7
c14347	-14
c14352	-11
c14365	-2
c14368	-15
c14380	-15
c14411	-8
c14413	-6
c14421	-5
c14439	-10
c14446	-10
c14453	-5
c14454	-4
c14464	-7
c14467	-8
c14474	-13
c14481	-5
c14485	-14
c14493	-3
c14517	-10
c14526	-16
c14531	-8
c14542	-1
c14545	-15
c14558	-15
c14579	-4
c14598	-12
c14601	-6
c14618	-2
c14622	-2
c14623	-2
c14627	-7
c14632	-16
c14639	-5
c14665	-9
c14675	-11
c14681	-3
c14685	-6
c14738	-13
c14751	-10
c14756	-4
c14778	-14
c14788	-15
c14796	-4
c14797	-4
c14798	-2
c14864	-7
c14881	-11
c14900	-4
c14913	-4
c14920	-9
c14934	-11
c14950	-7
c14969	-16
c14985	-14
c14987	-13
c14998	-9
c15002	-2
c15014	-12
c15032	-9
c15050	-11
c15072	-13
c15078	-12
c15088	-5
c15089	-5
c15130	-6
c15145	-6
c15147	-8
c15156	-8
c15160	-8
c15205	-16
c15214	-7
c15220	-7
c15246	-10
c15257	-9
c15277	-6
c15294	-5
c15311	-16
c15315	-7
c15322	-16
c15345	-15
c15354	-12
c15367	-14
c15368	-15
c15374	-11
c15398	-9
c15416	-5
c15417	-5
c15419	-9
c15428	-10
c15438	-2
c15440	-16
c15470	-2
c15483	-14
c15510	-9
c15533	-6
c15570	-4
c15576	-2
c15590	-6
c15615	-6
c15617	-2
c15640	-4
c15641	-4
c15655	-6
c15675	-11
c15682	-7
c15692	-15
c15718	-10
c15720	-13
c15734	-10
c15760	-10
c15776	-10
c15787	-15
c15791	-15
c15816	-4
c15823	-13
c15837	-5
c15839	-13
c15844	-10
c15848	-5
c15858	-15
c15874	-9
