	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
c895	18	-1	-1	44	12	-1	48	-1	0	12	0	46	0	0	48	45	0	0	46	25	0	-1	5	28	-1	0	-1	0	44	0
c1489	-1	14	18	44	0	8	40	0	-1	-1	0	-1	44	46	0	0	43	0	44	44	32	18	-1	0	-1	0	-1	0	-1	43
c1591	43	46	0	44	0	-1	32	-1	37	0	0	44	-1	0	0	38	0	-1	-1	0	5	0	43	-1	-1	0	0	0	0	44
c1781	21	0	0	44	0	0	-1	0	0	0	0	0	0	41	0	42	-1	0	0	29	0	29	0	0	-1	-1	0	0	50	0
c1895	0	0	0	44	0	0	12	19	-1	-1	25	-1	-1	37	-1	0	-1	25	37	0	25	-1	31	0	-1	0	16	-1	38	0
c1907	0	0	0	-1	-1	-1	0	0	0	0	0	44	10	46	-1	0	0	0	0	0	-1	29	0	8	-1	5	-1	0	-1	-1
c1912	44	-1	-1	44	42	8	-1	0	0	-1	0	0	0	46	0	-1	21	0	0	0	-1	18	-1	0	-1	-1	0	-1	44	31
c1919	-1	47	0	44	0	16	0	8	-1	0	5	0	0	0	0	21	-1	0	10	0	5	0	0	-1	-1	-1	0	32	0	0
c1920	0	0	0	44	0	0	0	0	0	-1	0	0	10	46	-1	0	21	0	-1	-1	0	29	16	27	-1	-1	0	38	0	-1
c2213	8	0	39	44	18	0	0	0	-1	12	0	0	-1	19	0	0	-1	0	0	0	-1	0	5	-1	-1	18	15	0	44	0
c2300	0	0	-1	44	0	0	25	29	0	-1	38	0	38	0	0	-1	0	0	0	0	0	0	5	0	-1	0	0	0	44	0
c2303	43	-1	50	-1	0	16	0	8	0	0	9	-1	0	0	-1	0	0	47	10	0	5	-1	0	0	-1	-1	0	46	37	0
c2566	43	0	0	-1	27	-1	0	0	0	12	0	0	3	44	0	0	0	0	0	0	37	0	-1	0	-1	43	0	-1	44	43
c2623	0	38	0	44	8	0	-1	0	0	8	0	50	3	46	0	0	0	12	-1	0	0	29	16	27	-1	5	-1	0	19	0
c2638	0	0	-1	-1	19	0	0	25	0	15	0	-1	0	0	-1	-1	8	25	45	0	0	0	31	0	-1	0	-1	-1	0	0
c2699	-1	0	0	44	5	0	0	0	12	48	0	18	0	-1	0	44	1	0	-1	5	38	18	-1	16	-1	0	0	-1	44	5
c2929	0	0	39	44	0	0	5	-1	9	12	0	43	0	0	15	-1	43	0	-1	46	-1	-1	-1	15	-1	0	0	0	44	0
c2934	-1	18	0	44	-1	0	26	-1	0	0	0	-1	-1	0	0	-1	0	0	-1	47	0	29	0	0	-1	-1	-1	-1	0	0
c3058	0	0	25	44	-1	8	18	-1	0	0	0	0	-1	46	-1	27	-1	0	0	0	0	18	0	0	-1	0	0	40	0	0
c3572	21	18	0	-1	0	46	0	-1	0	0	0	0	-1	38	8	-1	18	0	-1	0	0	29	0	0	-1	0	0	0	0	-1
c3616	-1	46	8	-1	0	0	38	-1	0	0	0	44	0	0	0	0	0	0	0	0	0	29	0	19	-1	5	0	44	0	44
